SH, 16, 2010021900,   , BEST,   0, 163S,  622E, 100,  948, HU,  50, NEQ,   40,   45,   45,   40, 1008,  150,  15,   0,  30,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010021900,   , BEST,   0, 163S,  622E, 100,  948, HU,  64, NEQ,   25,   25,   25,   25, 1008,  150,  15,   0,  30,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010021906,   , BEST,   0, 167S,  622E, 115,  937, HU,  34, NEQ,   85,   85,   80,   80, 1005,  150,  15,   0,  10,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010021906,   , BEST,   0, 167S,  622E, 115,  937, HU,  50, NEQ,   45,   45,   40,   40, 1005,  150,  15,   0,  10,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010021906,   , BEST,   0, 167S,  622E, 115,  937, HU,  64, NEQ,   30,   30,   25,   25, 1005,  150,  15,   0,  10,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010021912,   , BEST,   0, 173S,  621E, 125,  929, HU,  34, NEQ,   85,   85,   80,   80, 1005,  150,  15,   0,  10,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010021912,   , BEST,   0, 173S,  621E, 125,  929, HU,  50, NEQ,   45,   45,   40,   40, 1005,  150,  15,   0,  10,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010021912,   , BEST,   0, 173S,  621E, 125,  929, HU,  64, NEQ,   30,   30,   25,   25, 1005,  150,  15,   0,  10,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010021918,   , BEST,   0, 180S,  620E, 120,  933, HU,  34, NEQ,   85,   85,   80,   80, 1005,  150,  10,   0,  10,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010021918,   , BEST,   0, 180S,  620E, 120,  933, HU,  50, NEQ,   45,   45,   40,   40, 1005,  150,  10,   0,  10,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010021918,   , BEST,   0, 180S,  620E, 120,  933, HU,  64, NEQ,   30,   30,   30,   30, 1005,  150,  10,   0,  10,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010022000,   , BEST,   0, 184S,  617E, 110,  941, HU,  34, NEQ,   80,   80,   75,   75, 1005,  150,  15,   0,   0,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010022000,   , BEST,   0, 184S,  617E, 110,  941, HU,  50, NEQ,   45,   45,   40,   40, 1005,  150,  15,   0,   0,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010022000,   , BEST,   0, 184S,  617E, 110,  941, HU,  64, NEQ,   25,   25,   25,   25, 1005,  150,  15,   0,   0,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010022006,   , BEST,   0, 189S,  616E,  90,  956, HU,  34, NEQ,   80,   80,   75,   75, 1004,  150,  15,   0,   0,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010022006,   , BEST,   0, 189S,  616E,  90,  956, HU,  50, NEQ,   45,   45,   40,   40, 1004,  150,  15,   0,   0,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010022006,   , BEST,   0, 189S,  616E,  90,  956, HU,  64, NEQ,   25,   25,   25,   25, 1004,  150,  15,   0,   0,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010022012,   , BEST,   0, 194S,  615E,  80,  963, HU,  34, NEQ,   65,   80,   85,   65, 1005,  140,  15,   0,   0,   S,   0,    ,   0,   0,     GELANE, D, 
SH, 16, 2010022012,   , BEST,   0, 194S,  615E,  80,  963, HU,  50, NEQ,   30,   40,   40,   30, 1005,  140,  15,   0,   0,   S,   0,    ,   0,   0,     GELANE, D, 
