EP, 01, 2015052806,   , BEST,   0, 108N, 1099W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1010,  200,  70,  40,   0,   E,   0,    ,   0,   0,        ONE, M,  0,    ,    0,    0,    0,    0, TRANSITIONED, epA22015 to ep012015, DISSIPATED, ep012015 to ep922015, TRANSITIONED, epB22015 to ep012015, DISSIPATED, ep012015 to ep922015, TRANSITIONED, epC22015 to ep012015, 
EP, 01, 2015052812,   , BEST,   0, 111N, 1110W,  40, 1002, TS,  34, NEQ,   50,   40,    0,   40, 1008,  200,  50,  45,   0,   E,   0,    ,   0,   0,        ONE, D, 12, NEQ,   60,    0,    0,    0, 
EP, 01, 2015060418,   , BEST,   0, 201N, 1244W,  35, 1005, LO,  34, NEQ,    0,    0,    0,   60, 1009,  200,  60,  40,   0,   E,   0,    ,   0,   0,     ANDRES, S, 
EP, 01, 2015060500,   , BEST,   0, 199N, 1239W,  30, 1006, LO,   0,    ,    0,    0,    0,    0, 1009,  200,  60,   0,   0,    ,   0,    ,   0,   0,     ANDRES,  , 
EP, 01, 2015060506,   , BEST,   0, 198N, 1234W,  30, 1006, LO,   0,    ,    0,    0,    0,    0, 1009,  200,  60,   0,   0,    ,   0,    ,   0,   0,     ANDRES,  , 
EP, 01, 2015060512,   , BEST,   0, 196N, 1229W,  30, 1006, LO,   0,    ,    0,    0,    0,    0, 1009,  200,  60,   0,   0,    ,   0,    ,   0,   0,     ANDRES,  , 
EP, 01, 2015060518,   , BEST,   0, 194N, 1224W,  25, 1006, LO,   0,    ,    0,    0,    0,    0, 1009,  200,  60,   0,   0,    ,   0,    ,   0,   0,     ANDRES,  , 
EP, 01, 2015060600,   , BEST,   0, 190N, 1219W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  200,  60,   0,   0,    ,   0,    ,   0,   0,     ANDRES,  , 
EP, 01, 2015060606,   , BEST,   0, 188N, 1214W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  200,  60,   0,   0,    ,   0,    ,   0,   0,     ANDRES,  , 
EP, 01, 2015060612,   , BEST,   0, 186N, 1208W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  200,  60,   0,   0,    ,   0,    ,   0,   0,     ANDRES,  , 
EP, 01, 2015060618,   , BEST,   0, 184N, 1204W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  200,  60,   0,   0,    ,   0,    ,   0,   0,     ANDRES,  , 
EP, 01, 2015060700,   , BEST,   0, 183N, 1199W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  200,  60,   0,   0,    ,   0,    ,   0,   0,     ANDRES,  , 
