IO, 05, 2014110500,   , BEST,   0, 128N,  878E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1008,  300, 100,   0,   0, 
IO, 05, 2014110506,   , BEST,   0, 130N,  876E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1008,  300, 100,   0,   0, 
IO, 05, 2014110512,   , BEST,   0, 133N,  874E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  300, 100,   0,   0,   B,   0,    ,   0,   0,     INVEST, S, 
IO, 05, 2014110518,   , BEST,   0, 135N,  872E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1008,  300, 100,   0,   0,   B,   0,    ,   0,   0,     INVEST, S, 
IO, 05, 2014110600,   , BEST,   0, 138N,  870E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1007,  290,  40,   0,   0,   B,   0,    ,   0,   0,       FIVE, M,  0,    ,    0,    0,    0,    0,         TRANSITIONED, ioB12014 to io052014
IO, 05, 2014110606,   , BEST,   0, 134N,  878E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1007,  200,  45,   0,   0,   B,   0,    ,   0,   0,       FIVE, M, 
IO, 05, 2014110612,   , BEST,   0, 133N,  882E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1007,  200,  45,   0,   0,   B,   0,    ,   0,   0,       FIVE, M, 
IO, 05, 2014110618,   , BEST,   0, 134N,  883E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1007,  190,  45,   0,   0,   B,   0,    ,   0,   0,       FIVE, M, 
IO, 05, 2014110700,   , BEST,   0, 138N,  882E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1007,  190,  45,   0,   0,   B,   0,    ,   0,   0,       FIVE, M, 
IO, 05, 2014110706,   , BEST,   0, 142N,  877E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1007,  190,  45,   0,   0,   B,   0,    ,   0,   0,       FIVE, M, 
IO, 05, 2014110712,   , BEST,   0, 142N,  872E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1007,  190,  45,   0,   0,   B,   0,    ,   0,   0,       FIVE, M, 
IO, 05, 2014110718,   , BEST,   0, 143N,  867E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1007,  190,  45,   0,   0,   B,   0,    ,   0,   0,       FIVE, M, 
IO, 05, 2014110800,   , BEST,   0, 145N,  858E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1009,  190,  45,   0,   0,   B,   0,    ,   0,   0,       FIVE, M, 
IO, 05, 2014110806,   , BEST,   0, 143N,  851E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1009,  180,  45,   0,   0,   B,   0,    ,   0,   0,       FIVE, S, 
IO, 05, 2014110812,   , BEST,   0, 140N,  842E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1008,  180,  40,   0,   0,   B,   0,    ,   0,   0,       FIVE, S, 
IO, 05, 2014110818,   , BEST,   0, 141N,  833E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1008,  180,  40,   0,   0,   B,   0,    ,   0,   0,       FIVE, S, 
IO, 05, 2014110900,   , BEST,   0, 145N,  827E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1008,  180,  40,   0,   0, 
IO, 05, 2014110906,   , BEST,   0, 149N,  822E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1008,  180,  40,   0,   0, 
