IO, 94, 2013052912,   , BEST,   0, 217N, 0887E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1002,  170,  40,   0,   0,   B,   0,   X, 330,   4,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO942013, JTWC, NCEP_TCVITALS, 
IO, 94, 2013052918,   , BEST,   0, 219N, 0881E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1002,  170,  40,   0,   0,   B,   0,   X, 310,   5,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO942013, JTWC, NCEP_TCVITALS, 
IO, 94, 2013053000,   , BEST,   0, 224N, 0873E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1002,  170,  40,   0,   0,   B,   0,   X, 305,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO942013, JTWC, NCEP_TCVITALS, 
