EP, 13, 2014082312,   , BEST,   0, 143N, 1061W,  75,  983, HU,  64, NEQ,   20,   10,   10,   20, 1009,  240,  20,  90,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  220,  280,  220,  150, 
EP, 13, 2014082318,   , BEST,   0, 148N, 1071W,  80,  979, HU,  34, NEQ,  100,   90,   80,   90, 1009,  240,  15,  90,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  240,  240,  210,  150, 
EP, 13, 2014082318,   , BEST,   0, 148N, 1071W,  80,  979, HU,  50, NEQ,   50,   40,   30,   40, 1009,  240,  15,  90,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  240,  240,  210,  150, 
EP, 13, 2014082318,   , BEST,   0, 148N, 1071W,  80,  979, HU,  64, NEQ,   30,   20,   10,   20, 1009,  240,  15,  90,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  240,  240,  210,  150, 
EP, 13, 2014082400,   , BEST,   0, 155N, 1082W,  90,  971, HU,  34, NEQ,  150,  130,  120,  110, 1009,  280,  15, 110,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  300,  300,  210,  180, 
EP, 13, 2014082400,   , BEST,   0, 155N, 1082W,  90,  971, HU,  50, NEQ,   50,   40,   30,   50, 1009,  280,  15, 110,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  300,  300,  210,  180, 
EP, 13, 2014082400,   , BEST,   0, 155N, 1082W,  90,  971, HU,  64, NEQ,   30,   20,   10,   25, 1009,  280,  15, 110,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  300,  300,  210,  180, 
EP, 13, 2014082406,   , BEST,   0, 159N, 1094W, 115,  944, HU,  34, NEQ,  220,  180,  150,  150, 1008,  280,  15, 140,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  360,  330,  210,  240, 
EP, 13, 2014082406,   , BEST,   0, 159N, 1094W, 115,  944, HU,  50, NEQ,   90,   90,   60,   60, 1008,  280,  15, 140,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  360,  330,  210,  240, 
EP, 13, 2014082406,   , BEST,   0, 159N, 1094W, 115,  944, HU,  64, NEQ,   40,   30,   20,   30, 1008,  280,  15, 140,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  360,  330,  210,  240, 
EP, 13, 2014082412,   , BEST,   0, 160N, 1108W, 130,  929, HU,  34, NEQ,  220,  200,  150,  150, 1008,  400,  15, 160,   0,   E,   0,    ,   0,   0,      MARIE, D, 12, NEQ,  360,  360,  240,  240, 
