EP, 03, 2018060918,   , BEST,   0, 121N, 1005W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  210,  75,  40,   0,   E,   0,    ,   0,   0,      THREE, S,  0,    ,    0,    0,    0,    0, TRANSITIONED, epA22018 to ep032018, 
EP, 03, 2018061000,   , BEST,   0, 127N, 1013W,  35, 1003, TS,  34, NEQ,   50,   50,    0,   50, 1010,  210,  50,  45,   0,   E,   0,    ,   0,   0,        BUD, D, 
EP, 03, 2018061006,   , BEST,   0, 135N, 1021W,  45, 1000, TS,  34, NEQ,   60,   50,   50,   60, 1010,  180,  50,  55,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  120,  120,   90,    0, 
EP, 03, 2018061012,   , BEST,   0, 144N, 1029W,  55,  996, TS,  34, NEQ,   90,   90,   50,   70, 1010,  180,  20,  65,   0,   E,   0,    ,   0,   0,        BUD, D, 
EP, 03, 2018061012,   , BEST,   0, 144N, 1029W,  55,  996, TS,  50, NEQ,   20,   20,    0,   20, 1010,  180,  20,  65,   0,   E,   0,    ,   0,   0,        BUD, D, 
EP, 03, 2018061018,   , BEST,   0, 151N, 1038W,  65,  990, HU,  34, NEQ,  120,  120,   60,   80, 1010,  180,  20,  80,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  150,  120,  120, 
EP, 03, 2018061018,   , BEST,   0, 151N, 1038W,  65,  990, HU,  50, NEQ,   50,   40,    0,   20, 1010,  180,  20,  80,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  150,  120,  120, 
EP, 03, 2018061018,   , BEST,   0, 151N, 1038W,  65,  990, HU,  64, NEQ,   20,   15,    0,    0, 1010,  180,  20,  80,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  150,  120,  120, 
EP, 03, 2018061100,   , BEST,   0, 157N, 1046W,  75,  981, HU,  34, NEQ,  120,  120,   70,   80, 1009,  180,  25,  85,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  180,  180,  120,  150, 
EP, 03, 2018061100,   , BEST,   0, 157N, 1046W,  75,  981, HU,  50, NEQ,   60,   60,   30,   40, 1009,  180,  25,  85,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  180,  180,  120,  150, 
EP, 03, 2018061100,   , BEST,   0, 157N, 1046W,  75,  981, HU,  64, NEQ,   30,   30,    0,    0, 1009,  180,  25,  85,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  180,  180,  120,  150, 
EP, 03, 2018061106,   , BEST,   0, 161N, 1056W,  90,  970, HU,  34, NEQ,  110,  100,   70,   80, 1008,  180,  20, 110,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  180,  180,  150,  150, 
EP, 03, 2018061106,   , BEST,   0, 161N, 1056W,  90,  970, HU,  50, NEQ,   60,   60,   40,   40, 1008,  180,  20, 110,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  180,  180,  150,  150, 
EP, 03, 2018061106,   , BEST,   0, 161N, 1056W,  90,  970, HU,  64, NEQ,   30,   30,   15,   15, 1008,  180,  20, 110,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  180,  180,  150,  150, 
EP, 03, 2018061112,   , BEST,   0, 164N, 1064W, 100,  960, HU,  34, NEQ,   90,  100,   70,   80, 1008,  180,  20, 120,  15,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  210,  210,  180,  180, 
EP, 03, 2018061112,   , BEST,   0, 164N, 1064W, 100,  960, HU,  50, NEQ,   60,   60,   40,   40, 1008,  180,  20, 120,  15,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  210,  210,  180,  180, 
EP, 03, 2018061112,   , BEST,   0, 164N, 1064W, 100,  960, HU,  64, NEQ,   30,   30,   20,   20, 1008,  180,  20, 120,  15,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  210,  210,  180,  180, 
EP, 03, 2018061118,   , BEST,   0, 168N, 1069W, 110,  952, HU,  34, NEQ,   80,  100,   70,   80, 1008,  180,  20, 130,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  270,  120,  150, 
EP, 03, 2018061118,   , BEST,   0, 168N, 1069W, 110,  952, HU,  50, NEQ,   40,   50,   30,   30, 1008,  180,  20, 130,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  270,  120,  150, 
EP, 03, 2018061118,   , BEST,   0, 168N, 1069W, 110,  952, HU,  64, NEQ,   20,   30,   15,   15, 1008,  180,  20, 130,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  150,  270,  120,  150, 
EP, 03, 2018061200,   , BEST,   0, 173N, 1074W, 120,  943, HU,  34, NEQ,   80,  100,   70,   70, 1007,  160,  20, 135,   0,   E,   0,    ,   0,   0,        BUD, D, 12, NEQ,  270,  330,  240,  180, 
