SH, 06, 2012011000,   , BEST,   0, 145S, 1193E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1010,  125,  35,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 06, 2012011006,   , BEST,   0, 154S, 1191E,  25, 1003, DB,   0,    ,    0,    0,    0,    0, 1006,  180,  25,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 06, 2012011012,   , BEST,   0, 165S, 1192E,  30,  998, DB,   0,    ,    0,    0,    0,    0, 1006,  180,  25,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 06, 2012011018,   , BEST,   0, 175S, 1193E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1006,  170,  40,   0,   0,   S,   0,    ,   0,   0,      HEIDI, M, 
SH, 06, 2012011100,   , BEST,   0, 183S, 1195E,  40,  993, TS,  34, NEQ,   25,   40,   45,   30, 1006,  170,  40,   0,   0,   S,   0,    ,   0,   0,      HEIDI, M, 
SH, 06, 2012011106,   , BEST,   0, 190S, 1190E,  45,  989, TS,  34, NEQ,   60,   70,   60,   40, 1004,  150,  40,   0,   0,   S,   0,    ,   0,   0,      HEIDI, M, 
SH, 06, 2012011112,   , BEST,   0, 196S, 1188E,  60,  978, TS,  34, NEQ,   60,   50,   50,   50, 1004,  120,  25,   0,   0,   S,   0,    ,   0,   0,      HEIDI, M, 
SH, 06, 2012011112,   , BEST,   0, 196S, 1188E,  60,  978, TS,  50, NEQ,   30,   30,   30,   30, 1004,  120,  25,   0,   0,   S,   0,    ,   0,   0,      HEIDI, M, 
SH, 06, 2012011115,   , BEST,   0, 199S, 1188E,  65,  974, HU,  34, NEQ,   65,   75,   70,   60, 
SH, 06, 2012011115,   , BEST,   0, 199S, 1188E,  65,  974, HU,  50, NEQ,   30,   35,   35,   30, 
SH, 06, 2012011115,   , BEST,   0, 199S, 1188E,  65,  974, HU,  64, NEQ,   20,   20,   20,   20, 
SH, 06, 2012011118,   , BEST,   0, 202S, 1187E,  65,  974, HU,  34, NEQ,   50,   50,   50,   50, 1002,  120,  25,   0,   0,   S,   0,    ,   0,   0,      HEIDI, M, 
SH, 06, 2012011200,   , BEST,   0, 208S, 1186E,  45,  989, TS,  34, NEQ,   50,   50,   50,   50, 
SH, 06, 2012011206,   , BEST,   0, 214S, 1184E,  40,  993, TS,  34, NEQ,   50,   50,   50,   50, 
SH, 06, 2012011212,   , BEST,   0, 221S, 1183E,  40,  993, TS,  34, NEQ,   20,   20,   20,   20, 
SH, 06, 2012011218,   , BEST,   0, 228S, 1182E,  40,  993, TS,  34, NEQ,   20,   20,   20,   20, 
SH, 06, 2012011300,   , BEST,   0, 239S, 1182E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 
SH, 06, 2012011306,   , BEST,   0, 250S, 1177E,  30, 1000, EX,   0,    ,    0,    0,    0,    0, 
