EP, 05, 2023080300,   , BEST,   0, 153N, 1162W, 110,  956, HU,  64, NEQ,   15,   10,   10,   15, 1010,  110,   5, 135,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  120,   60,   45,   75, 
EP, 05, 2023080306,   , BEST,   0, 151N, 1177W, 115,  952, HU,  34, NEQ,   40,   30,   30,   40, 1010,  110,   5, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,   90,   60,   60,   75, 
EP, 05, 2023080306,   , BEST,   0, 151N, 1177W, 115,  952, HU,  50, NEQ,   20,   15,   15,   20, 1010,  110,   5, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,   90,   60,   60,   75, 
EP, 05, 2023080306,   , BEST,   0, 151N, 1177W, 115,  952, HU,  64, NEQ,   15,   10,   10,   15, 1010,  110,   5, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,   90,   60,   60,   75, 
EP, 05, 2023080312,   , BEST,   0, 149N, 1193W, 110,  955, HU,  34, NEQ,   40,   30,   30,   40, 1010,  110,   5, 135,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,   75,   40,   75,   90, 
EP, 05, 2023080312,   , BEST,   0, 149N, 1193W, 110,  955, HU,  50, NEQ,   20,   15,   15,   20, 1010,  110,   5, 135,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,   75,   40,   75,   90, 
EP, 05, 2023080312,   , BEST,   0, 149N, 1193W, 110,  955, HU,  64, NEQ,   15,   10,   10,   15, 1010,  110,   5, 135,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,   75,   40,   75,   90, 
EP, 05, 2023080318,   , BEST,   0, 145N, 1210W, 105,  958, HU,  34, NEQ,   40,   30,   30,   40, 1010,  110,   5, 130,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  120,   75,   75,  120, 
EP, 05, 2023080318,   , BEST,   0, 145N, 1210W, 105,  958, HU,  50, NEQ,   20,   15,   15,   20, 1010,  110,   5, 130,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  120,   75,   75,  120, 
EP, 05, 2023080318,   , BEST,   0, 145N, 1210W, 105,  958, HU,  64, NEQ,   15,   10,   10,   15, 1010,  110,   5, 130,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  120,   75,   75,  120, 
EP, 05, 2023080400,   , BEST,   0, 142N, 1226W, 120,  950, HU,  34, NEQ,   40,   40,   30,   40, 1010,  110,   5, 145,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  150,   75,   75,  120, 
EP, 05, 2023080400,   , BEST,   0, 142N, 1226W, 120,  950, HU,  50, NEQ,   25,   15,   15,   25, 1010,  110,   5, 145,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  150,   75,   75,  120, 
EP, 05, 2023080400,   , BEST,   0, 142N, 1226W, 120,  950, HU,  64, NEQ,   15,   10,   10,   15, 1010,  110,   5, 145,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  150,   75,   75,  120, 
EP, 05, 2023080406,   , BEST,   0, 141N, 1243W, 115,  952, HU,  34, NEQ,   40,   40,   30,   40, 1010,  110,   5, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  150,   75,   60,  120, 
EP, 05, 2023080406,   , BEST,   0, 141N, 1243W, 115,  952, HU,  50, NEQ,   25,   15,   15,   25, 1010,  110,   5, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  150,   75,   60,  120, 
EP, 05, 2023080406,   , BEST,   0, 141N, 1243W, 115,  952, HU,  64, NEQ,   15,   10,   10,   15, 1010,  110,   5, 140,   0,   E,   0,    ,   0,   0,       DORA, D, 12, NEQ,  150,   75,   60,  120, 
