AL, 09, 2015091500,   , BEST,   0, 115N,  403W,  20, 1011, LO,   0,    ,    0,    0,    0,    0, 1015,  200,  60,  30,   0,   L,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 027, 
AL, 09, 2015091506,   , BEST,   0, 117N,  411W,  20, 1011, LO,   0,    ,    0,    0,    0,    0, 1015,  200,  60,   0,   0,   L,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 027, 
AL, 09, 2015091512,   , BEST,   0, 119N,  419W,  20, 1011, LO,   0,    ,    0,    0,    0,    0, 1015,  200,  60,  35,   0,   L,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 027, 
AL, 09, 2015091518,   , BEST,   0, 125N,  424W,  20, 1011, LO,   0,    ,    0,    0,    0,    0, 1015,  200,  60,  35,   0,   L,   0,    ,   0,   0,     INVEST, M,  0,    ,    0,    0,    0,    0, genesis-num, 027, 
AL, 09, 2015091600,   , BEST,   0, 133N,  427W,  25, 1010, LO,   0,    ,    0,    0,    0,    0, 1014,  180,  60,  35,   0,   L,   0,    ,   0,   0,     INVEST, M,  0,    ,    0,    0,    0,    0, genesis-num, 027, 
AL, 09, 2015091606,   , BEST,   0, 140N,  431W,  25, 1009, LO,   0,    ,    0,    0,    0,    0, 1013,  180,  80,  35,   0,   L,   0,    ,   0,   0,     INVEST, M,  0,    ,    0,    0,    0,    0, genesis-num, 027, 
AL, 09, 2015091612,   , BEST,   0, 145N,  437W,  25, 1009, TD,   0,    ,    0,    0,    0,    0, 1012,  180,  80,   0,   0,   L,   0,    ,   0,   0,       NINE, M,  0,    ,    0,    0,    0,    0, genesis-num, 027, TRANSITIONED, alB32015 to al092015, 
AL, 09, 2015091618,   , BEST,   0, 150N,  444W,  25, 1009, TD,   0,    ,    0,    0,    0,    0, 1012,  180,  80,  35,   0,   L,   0,    ,   0,   0,       NINE, M,  0,    ,    0,    0,    0,    0, genesis-num, 027, 
AL, 09, 2015091700,   , BEST,   0, 153N,  448W,  25, 1008, TD,   0,    ,    0,    0,    0,    0, 1012,  180,  80,  35,   0,   L,   0,    ,   0,   0,       NINE, M,  0,    ,    0,    0,    0,    0, genesis-num, 027, 
AL, 09, 2015091706,   , BEST,   0, 156N,  450W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1011,  180,  70,  40,   0,   L,   0,    ,   0,   0,       NINE, M,  0,    ,    0,    0,    0,    0, genesis-num, 027, 
AL, 09, 2015091712,   , BEST,   0, 159N,  451W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1011,  180,  70,  40,   0,   L,   0,    ,   0,   0,       NINE, M,  0,    ,    0,    0,    0,    0, genesis-num, 027, 
AL, 09, 2015091718,   , BEST,   0, 163N,  451W,  25, 1007, TD,   0,    ,    0,    0,    0,    0, 1011,  180,  70,  35,   0,   L,   0,    ,   0,   0,       NINE, M,  0,    ,    0,    0,    0,    0, genesis-num, 027, 
AL, 09, 2015091800,   , BEST,   0, 168N,  452W,  25, 1007, TD,   0,    ,    0,    0,    0,    0, 1011,  180,  70,  35,   0,   L,   0,    ,   0,   0,       NINE, M,  0,    ,    0,    0,    0,    0, genesis-num, 027, 
AL, 09, 2015091806,   , BEST,   0, 173N,  458W,  25, 1007, TD,   0,    ,    0,    0,    0,    0, 1010,  180,  70,  35,   0,   L,   0,    ,   0,   0,       NINE, M,  0,    ,    0,    0,    0,    0, genesis-num, 027, 
AL, 09, 2015091812,   , BEST,   0, 176N,  466W,  25, 1007, TD,   0,    ,    0,    0,    0,    0, 1009,  180,  70,  35,   0,   L,   0,    ,   0,   0,       NINE, M,  0,    ,    0,    0,    0,    0, genesis-num, 027, 
AL, 09, 2015091818,   , BEST,   0, 179N,  473W,  25, 1007, TD,   0,    ,    0,    0,    0,    0, 1010,  180,  70,  35,   0,   L,   0,    ,   0,   0,       NINE, S,  0,    ,    0,    0,    0,    0, genesis-num, 027, 
AL, 09, 2015091900,   , BEST,   0, 181N,  481W,  25, 1008, TD,   0,    ,    0,    0,    0,    0, 1010,  180,  70,  35,   0,   L,   0,    ,   0,   0,       NINE, S,  0,    ,    0,    0,    0,    0, genesis-num, 027, 
AL, 09, 2015091906,   , BEST,   0, 183N,  488W,  25, 1009, TD,   0,    ,    0,    0,    0,    0, 1010,  180,  70,  35,   0,   L,   0,    ,   0,   0,       NINE, S,  0,    ,    0,    0,    0,    0, genesis-num, 027, 
AL, 09, 2015091912,   , BEST,   0, 185N,  494W,  25, 1009, TD,   0,    ,    0,    0,    0,    0, 1010,  180,  70,  35,   0,   L,   0,    ,   0,   0,       NINE, S,  0,    ,    0,    0,    0,    0, genesis-num, 027, 
