EP, 10, 2011100912,   , BEST,   0, 161N, 1089W,  80,  978, HU,  34, NEQ,   45,   90,   75,   30, 1008,  165,  10,  90,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  270,  240,  180,   60
EP, 10, 2011100912,   , BEST,   0, 161N, 1089W,  80,  978, HU,  50, NEQ,   20,   30,   30,    0, 1008,  165,  10,  90,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  270,  240,  180,   60
EP, 10, 2011100912,   , BEST,   0, 161N, 1089W,  80,  978, HU,  64, NEQ,    0,   15,   15,    0, 1008,  165,  10,  90,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  270,  240,  180,   60
EP, 10, 2011100918,   , BEST,   0, 161N, 1083W,  80,  975, HU,  34, NEQ,   45,  105,   75,   45, 1008,  165,  15, 100,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  270,  240,  180,   60
EP, 10, 2011100918,   , BEST,   0, 161N, 1083W,  80,  975, HU,  50, NEQ,   20,   35,   30,   15, 1008,  165,  15, 100,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  270,  240,  180,   60
EP, 10, 2011100918,   , BEST,   0, 161N, 1083W,  80,  975, HU,  64, NEQ,    0,   20,   20,    0, 1008,  165,  15, 100,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  270,  240,  180,   60
EP, 10, 2011101000,   , BEST,   0, 162N, 1077W,  90,  969, HU,  34, NEQ,   45,  105,   75,   45, 1008,  200,  15, 105,   0,   E,   0,    ,   0,   0,       JOVA, D, 
EP, 10, 2011101000,   , BEST,   0, 162N, 1077W,  90,  969, HU,  50, NEQ,   20,   35,   30,   15, 1008,  200,  15, 105,   0,   E,   0,    ,   0,   0,       JOVA, D, 
EP, 10, 2011101000,   , BEST,   0, 162N, 1077W,  90,  969, HU,  64, NEQ,    0,   20,   20,    0, 1008,  200,  15, 105,   0,   E,   0,    ,   0,   0,       JOVA, D, 
EP, 10, 2011101006,   , BEST,   0, 163N, 1072W, 100,  964, HU,  34, NEQ,   60,  105,   75,   45, 1008,  200,  15, 115,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  240,  240,  270,   90
EP, 10, 2011101006,   , BEST,   0, 163N, 1072W, 100,  964, HU,  50, NEQ,   20,   40,   35,   20, 1008,  200,  15, 115,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  240,  240,  270,   90
EP, 10, 2011101006,   , BEST,   0, 163N, 1072W, 100,  964, HU,  64, NEQ,   15,   20,   20,   15, 1008,  200,  15, 115,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  240,  240,  270,   90
EP, 10, 2011101012,   , BEST,   0, 164N, 1068W, 105,  961, HU,  34, NEQ,   75,   90,   60,   60, 1008,  200,  15, 135,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  200,  240,  300,   90
EP, 10, 2011101012,   , BEST,   0, 164N, 1068W, 105,  961, HU,  50, NEQ,   30,   40,   35,   30, 1008,  200,  15, 135,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  200,  240,  300,   90
EP, 10, 2011101012,   , BEST,   0, 164N, 1068W, 105,  961, HU,  64, NEQ,   15,   20,   20,   15, 1008,  200,  15, 135,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  200,  240,  300,   90
EP, 10, 2011101018,   , BEST,   0, 165N, 1065W, 110,  955, HU,  34, NEQ,   90,   90,   60,   60, 1008,  200,  15, 135,  15,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  210,  270,  300,   90
EP, 10, 2011101018,   , BEST,   0, 165N, 1065W, 110,  955, HU,  50, NEQ,   35,   40,   30,   30, 1008,  200,  15, 135,  15,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  210,  270,  300,   90
EP, 10, 2011101018,   , BEST,   0, 165N, 1065W, 110,  955, HU,  64, NEQ,   25,   20,   20,   15, 1008,  200,  15, 135,  15,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  210,  270,  300,   90
EP, 10, 2011101100,   , BEST,   0, 168N, 1062W, 105,  958, HU,  34, NEQ,   90,   90,   60,   60, 1006,  180,  15, 135,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  210,  300,  300,  120
EP, 10, 2011101100,   , BEST,   0, 168N, 1062W, 105,  958, HU,  50, NEQ,   35,   40,   30,   30, 1006,  180,  15, 135,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  210,  300,  300,  120
EP, 10, 2011101100,   , BEST,   0, 168N, 1062W, 105,  958, HU,  64, NEQ,   25,   20,   20,   15, 1006,  180,  15, 135,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  210,  300,  300,  120
EP, 10, 2011101106,   , BEST,   0, 172N, 1059W, 100,  962, HU,  34, NEQ,   90,   90,   75,   75, 1006,  180,  15, 120,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  180,  300,  300,  120
EP, 10, 2011101106,   , BEST,   0, 172N, 1059W, 100,  962, HU,  50, NEQ,   35,   35,   35,   35, 1006,  180,  15, 120,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  180,  300,  300,  120
EP, 10, 2011101106,   , BEST,   0, 172N, 1059W, 100,  962, HU,  64, NEQ,   25,   20,   20,   15, 1006,  180,  15, 120,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  180,  300,  300,  120
EP, 10, 2011101112,   , BEST,   0, 175N, 1057W,  95,  965, HU,  34, NEQ,   90,   90,   75,   75, 1006,  180,  15, 120,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  150,  270,  300,  120
EP, 10, 2011101112,   , BEST,   0, 175N, 1057W,  95,  965, HU,  50, NEQ,   30,   30,   40,   40, 1006,  180,  15, 120,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  150,  270,  300,  120
EP, 10, 2011101112,   , BEST,   0, 175N, 1057W,  95,  965, HU,  64, NEQ,   20,   20,   20,   15, 1006,  180,  15, 120,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  150,  270,  300,  120
EP, 10, 2011101118,   , BEST,   0, 179N, 1055W,  85,  973, HU,  34, NEQ,   90,   90,   75,   75, 1006,  180,  10, 105,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  150,  300,  300,  150
EP, 10, 2011101118,   , BEST,   0, 179N, 1055W,  85,  973, HU,  50, NEQ,   30,   30,   40,   40, 1006,  180,  10, 105,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  150,  300,  300,  150
EP, 10, 2011101118,   , BEST,   0, 179N, 1055W,  85,  973, HU,  64, NEQ,   20,   20,   20,   15, 1006,  180,  10, 105,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  150,  300,  300,  150
EP, 10, 2011101200,   , BEST,   0, 186N, 1053W,  85,  974, HU,  34, NEQ,   90,   90,   75,   75, 1006,  180,  10, 105,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  150,  300,  300,  150
EP, 10, 2011101200,   , BEST,   0, 186N, 1053W,  85,  974, HU,  50, NEQ,   30,   30,   40,   40, 1006,  180,  10, 105,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  150,  300,  300,  150
EP, 10, 2011101200,   , BEST,   0, 186N, 1053W,  85,  974, HU,  64, NEQ,   20,   20,   20,   15, 1006,  180,  10, 105,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,  150,  300,  300,  150
EP, 10, 2011101206,   , BEST,   0, 196N, 1051W,  85,  975, HU,  34, NEQ,   60,   90,   75,   75, 1006,  150,  10, 100,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,   60,  210,  120,  120
EP, 10, 2011101206,   , BEST,   0, 196N, 1051W,  85,  975, HU,  50, NEQ,   30,   30,   40,   40, 1006,  150,  10, 100,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,   60,  210,  120,  120
EP, 10, 2011101206,   , BEST,   0, 196N, 1051W,  85,  975, HU,  64, NEQ,   15,   15,   15,   15, 1006,  150,  10, 100,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,   60,  210,  120,  120
EP, 10, 2011101212,   , BEST,   0, 206N, 1049W,  60,  987, TS,  34, NEQ,   60,   60,   75,   75, 1006,  150,  10,  80,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,    0,  180,   90,   60
EP, 10, 2011101212,   , BEST,   0, 206N, 1049W,  60,  987, TS,  50, NEQ,   10,   10,   40,   40, 1006,  150,  10,  80,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,    0,  180,   90,   60
EP, 10, 2011101218,   , BEST,   0, 213N, 1045W,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  15,  55,   0,   E,   0,    ,   0,   0,       JOVA, D, 12, NEQ,    0,  210,  270,    0
