SH, 99, 2013030118,   , BEST,   0, 150S, 1472E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  35,   4,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013030200,   , BEST,   0, 148S, 1478E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  63,   5,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013030206,   , BEST,   0, 157S, 1491E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 111,  10,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013030212,   , BEST,   0, 160S, 1495E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 126,  10,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013030218,   , BEST,   0, 170S, 1507E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 130,  10,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013030300,   , BEST,   0, 176S, 1540E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 110,  23,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013030306,   , BEST,   0, 179S, 1547E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 103,  20,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013030312,   , BEST,   0, 183S, 1554E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 118,   8,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013030318,   , BEST,   0, 196S, 1578E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 120,  17,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013030400,   , BEST,   0, 210S, 1593E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 126,  23,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013030400,   , BEST,   0, 205S, 1589E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 124,  20,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
SH, 99, 2013030406,   , BEST,   0, 216S, 1597E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 138,  13,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992013, JTWC, MT2C_TCVITALS, 
