SH, 90, 2013020206,   , BEST,   0, 127S, 1670E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  90,   9,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020212,   , BEST,   0, 127S, 1678E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  90,   9,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020218,   , BEST,   0, 152S, 1695E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 136,  17,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020300,   , BEST,   0, 166S, 1699E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 152,  22,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020306,   , BEST,   0, 166S, 1707E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 141,   9,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020312,   , BEST,   0, 150S, 1753W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  84,  72,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020318,   , BEST,   0, 152S, 1774W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  83,  58,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020400,   , BEST,   0, 152S, 1762W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 257,   4,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020406,   , BEST,   0, 152S, 1757W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  90,   8,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020412,   , BEST,   0, 157S, 1743W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 105,  10,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020418,   , BEST,   0, 157S, 1740W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 107,   9,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020500,   , BEST,   0, 157S, 1737W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  90,   3,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020506,   , BEST,   0, 151S, 1686W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  83,  26,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020512,   , BEST,   0, 163S, 1672W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  95,  31,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020512,   , BEST,   0, 163S, 1672W,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  95,  31,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020518,   , BEST,   0, 174S, 1670W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 146,  14,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020600,   , BEST,   0, 180S, 1630W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 113,  22,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020606,   , BEST,   0, 182S, 1620W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 100,  24,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020612,   , BEST,   0, 183S, 1616W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 103,   7,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020618,   , BEST,   0, 184S, 1599W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,  96,  10,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020700,   , BEST,   0, 215S, 1585W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 138,  22,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020706,   , BEST,   0, 219S, 1563W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 136,  24,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
SH, 90, 2013020712,   , BEST,   0, 223S, 1554W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 106,  15,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH902013, JTWC, MT2C_TCVITALS, 
