AL, 20, 2003120412,   , BEST,   0, 129N,  762W,  30, 1005, TD,  34, NEQ,    0,    0,    0,    0, 1010,  150,  40,   0,   0, 
AL, 20, 2003120418,   , BEST,   0, 133N,  757W,  35, 1003, TS,  34, NEQ,  100,  100,   50,   75, 1010,  150,  40,   0,   0, 
AL, 20, 2003120500,   , BEST,   0, 137N,  752W,  45, 1000, TS,  34, NEQ,  100,  100,   50,   75, 1010,  150,  30,   0,   0, 
AL, 20, 2003120506,   , BEST,   0, 139N,  748W,  50,  993, TS,  34, NEQ,  100,  100,   50,   75, 1009,  150,  30,   0,   0, 
AL, 20, 2003120512,   , BEST,   0, 141N,  744W,  50,  993, TS,  34, NEQ,  100,  100,   50,   75, 1009,  150,  30,   0,   0, 
AL, 20, 2003120518,   , BEST,   0, 143N,  738W,  50,  995, TS,  34, NEQ,  150,  100,   60,  100, 1009,  150,  30,   0,   0, 
AL, 20, 2003120600,   , BEST,   0, 150N,  730W,  50,  995, TS,  34, NEQ,  125,  100,   75,  100, 1009,  150,  20,   0,   0, 
AL, 20, 2003120606,   , BEST,   0, 159N,  725W,  55,  995, TS,  34, NEQ,  125,  100,   75,  100, 1009,  150,  20,   0,   0, 
AL, 20, 2003120612,   , BEST,   0, 166N,  722W,  55,  995, TS,  34, NEQ,  125,  100,   75,  100, 1009,  150,  20,   0,   0, 
AL, 20, 2003120618,   , BEST,   0, 172N,  720W,  55,  994, TS,  34, NEQ,  125,  100,   60,   60, 1009,  150,  20,   0,   0, 
AL, 20, 2003120623,   , BEST,   0, 178N,  715W,  50,  995, TS,   0,    ,    0,    0,    0,    0, 
AL, 20, 2003120700,   , BEST,   0, 179N,  714W,  45,  997, TS,  34, NEQ,  100,  100,   25,   60, 1009,  150,  20,   0,   0, 
AL, 20, 2003120706,   , BEST,   0, 189N,  706W,  40, 1000, TS,  34, NEQ,    0,  150,    0,    0, 1009,  150,  60,   0,   0, 
AL, 20, 2003120712,   , BEST,   0, 205N,  695W,  40, 1003, TS,  34, NEQ,    0,  150,    0,    0, 1009,  150,  60,   0,   0, 
AL, 20, 2003120718,   , BEST,   0, 224N,  681W,  45, 1002, EX,   0,    ,    0,    0,    0,    0, 
AL, 20, 2003120800,   , BEST,   0, 235N,  659W,  45, 1002, EX,   0,    ,    0,    0,    0,    0, 
AL, 20, 2003120806,   , BEST,   0, 244N,  637W,  45, 1004, EX,   0,    ,    0,    0,    0,    0, 
AL, 20, 2003120812,   , BEST,   0, 254N,  616W,  40, 1005, EX,   0,    ,    0,    0,    0,    0, 
AL, 20, 2003120818,   , BEST,   0, 263N,  595W,  40, 1005, EX,   0,    ,    0,    0,    0,    0, 
AL, 20, 2003120900,   , BEST,   0, 274N,  571W,  40, 1005, EX,   0,    ,    0,    0,    0,    0, 
AL, 20, 2003120906,   , BEST,   0, 289N,  542W,  40, 1006, EX,   0,    ,    0,    0,    0,    0, 
AL, 20, 2003120912,   , BEST,   0, 304N,  511W,  40, 1006, EX,   0,    ,    0,    0,    0,    0, 
AL, 20, 2003120918,   , BEST,   0, 319N,  477W,  40, 1006, EX,   0,    ,    0,    0,    0,    0, 
