SH, 95, 2013022112,   , BEST,   0, 277S, 1557E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 274,   7,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013022118,   , BEST,   0, 274S, 1563E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X,   8,   3,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013022200,   , BEST,   0, 283S, 1556E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 188,   3,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013022206,   , BEST,   0, 285S, 1551E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 224,   8,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013022212,   , BEST,   0, 290S, 1544E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 236,   6,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013022218,   , BEST,   0, 295S, 1529E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 243,  11,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013022300,   , BEST,   0, 297S, 1524E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   P,   0,   X, 248,   9,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013030718,   , BEST,   0, 100S, 0567E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 104,   2,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013030718,   , BEST,   0, 100S, 0567E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 100,  12,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
SH, 95, 2013030800,   , BEST,   0, 096S, 0557E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X,  90,   6,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952013, JTWC, MT2C_TCVITALS, 
