AL, 21, 2023102312,   , BEST,   0, 114N,  826W,  25, 1007, TD,   0,    ,    0,    0,    0,    0, 1009,  180,  80,   0,   0,   L,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 041, 
AL, 21, 2023102318,   , BEST,   0, 115N,  832W,  25, 1007, TD,   0,    ,    0,    0,    0,    0, 1009,  150,  60,   0,   0,   L,   0,    ,   0,   0, TWENTY-ONE, S,  0,    ,    0,    0,    0,    0, genesis-num, 041, TRANSITIONED, alD52023 to al212023, 
AL, 21, 2023102400,   , BEST,   0, 122N,  834W,  25, 1007, TD,   0,    ,    0,    0,    0,    0, 1009,  150,  60,  35,   0,   L,   0,    ,   0,   0, TWENTY-ONE, S,  0,    ,    0,    0,    0,    0, genesis-num, 041, 
AL, 21, 2023102401, 30, BEST,   0, 124N,  835W,  25, 1007, TD,   0,    ,    0,    0,    0,    0, 1009,  150,  60,   0,   0,   L,   0,    ,   0,   0, TWENTY-ONE,  ,  0,    ,    0,    0,    0,    0, genesis-num, 041, 
AL, 21, 2023102406,   , BEST,   0, 130N,  838W,  25, 1007, TD,   0,    ,    0,    0,    0,    0, 1009,  150,  60,  35,   0,   L,   0,    ,   0,   0, TWENTY-ONE, S,  0,    ,    0,    0,    0,    0, genesis-num, 041, 
AL, 21, 2023102412,   , BEST,   0, 135N,  844W,  20, 1007, LO,   0,    ,    0,    0,    0,    0, 1009,  150,  60,  30,   0,   L,   0,    ,   0,   0, TWENTY-ONE, S,  0,    ,    0,    0,    0,    0, genesis-num, 041, 
