WP, 90, 2019050200,   , BEST,   0, 062N, 1407E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  105,  20,   0,   0,   W,   0,   X, 310,  12,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902019, JTWC, NCEP_TCVITALS, 
WP, 90, 2019050206,   , BEST,   0, 072N, 1398E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  130,  50,   0,   0,   W,   0,   X, 320,  14,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902019, JTWC, NCEP_TCVITALS, 
WP, 90, 2019050212,   , BEST,   0, 067N, 1385E,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 1010,  130,  50,   0,   0,   W,   0,   X, 300,  12,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902019, JTWC, NCEP_TCVITALS, 
WP, 90, 2019050218,   , BEST,   0, 072N, 1375E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1010,  130,  50,   0,   0,   W,   0,   X, 290,  11,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902019, JTWC, NCEP_TCVITALS, 
WP, 90, 2019050300,   , BEST,   0, 070N, 1348E,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 1011,  130,  50,   0,   0,   W,   0,   X, 280,  14,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902019, JTWC, NCEP_TCVITALS, 
WP, 90, 2019050306,   , BEST,   0, 074N, 1365E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  120,  50,   0,   0,   W,   0,   X, 295,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902019, JTWC, NCEP_TCVITALS, 
WP, 90, 2019050312,   , BEST,   0, 080N, 1361E,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 1011,  110,  50,   0,   0,   W,   0,   X, 305,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902019, JTWC, NCEP_TCVITALS, 
WP, 90, 2019050318,   , BEST,   0, 090N, 1366E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1011,  120,  50,   0,   0,   W,   0,   X, 340,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902019, JTWC, NCEP_TCVITALS, 
WP, 90, 2019050418,   , BEST,   0, 095N, 1388E,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 1011,  120,  50,   0,   0,   W,   0,   X,   5,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902019, JTWC, NCEP_TCVITALS, 
WP, 90, 2019050500,   , BEST,   0, 093N, 1389E,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 1011,  120,  50,   0,   0,   W,   0,   X,  10,   2,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902019, JTWC, NCEP_TCVITALS, 
WP, 90, 2019050518,   , BEST,   0, 088N, 1367E,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 1011,  120,  50,   0,   0,   W,   0,   X, 270,   5,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP902019, JTWC, NCEP_TCVITALS, 
