IO, 99, 2019102906,   , BEST,   0, 048N, 0772E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  180,  50,   0,   0,   B,   0,   X, 270,   5,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO992019, JTWC, NCEP_TCVITALS, 
IO, 99, 2019102912,   , BEST,   0, 051N, 0766E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  180,  50,   0,   0,   B,   0,   X, 280,   5,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO992019, JTWC, NCEP_TCVITALS, 
IO, 99, 2019102918,   , BEST,   0, 063N, 0760E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  180,  50,   0,   0,   B,   0,   X, 310,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO992019, JTWC, NCEP_TCVITALS, 
IO, 99, 2019103000,   , BEST,   0, 077N, 0755E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1010,  210,  45,   0,   0,   B,   0,   X, 330,  11,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO992019, JTWC, NCEP_TCVITALS, 
