SH, 17, 2019030318,   , BEST,   0, 164S,  734E,  70,  973, HU,  64, NEQ,   20,   35,   25,   20, 1006,  215,  30,   0,   0,   S,   0,    ,   0,   0,      HALEH, S, 
SH, 17, 2019030400,   , BEST,   0, 171S,  732E,  90,  959, HU,  34, NEQ,  180,  185,  145,  100, 1007,  225,  25,   0,   0,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030400,   , BEST,   0, 171S,  732E,  90,  959, HU,  50, NEQ,  100,  100,   75,   50, 1007,  225,  25,   0,   0,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030400,   , BEST,   0, 171S,  732E,  90,  959, HU,  64, NEQ,   30,   45,   40,   25, 1007,  225,  25,   0,   0,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030406,   , BEST,   0, 180S,  730E, 100,  957, HU,  34, NEQ,  165,  190,  140,  100, 1006,  190,  20,   0,  30,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030406,   , BEST,   0, 180S,  730E, 100,  957, HU,  50, NEQ,   55,   50,   45,   30, 1006,  190,  20,   0,  30,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030406,   , BEST,   0, 180S,  730E, 100,  957, HU,  64, NEQ,   45,   40,   35,   20, 1006,  190,  20,   0,  30,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030412,   , BEST,   0, 187S,  727E, 105,  951, HU,  34, NEQ,  140,  180,  120,   95, 1004,  190,  17,   0,  25,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030412,   , BEST,   0, 187S,  727E, 105,  951, HU,  50, NEQ,   75,   80,   60,   50, 1004,  190,  17,   0,  25,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030412,   , BEST,   0, 187S,  727E, 105,  951, HU,  64, NEQ,   40,   45,   35,   25, 1004,  190,  17,   0,  25,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030418,   , BEST,   0, 191S,  725E, 115,  941, HU,  34, NEQ,  160,  200,  185,  110, 1005,  190,  17,   0,  25,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030418,   , BEST,   0, 191S,  725E, 115,  941, HU,  50, NEQ,   95,  120,  100,   55, 1005,  190,  17,   0,  25,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030418,   , BEST,   0, 191S,  725E, 115,  941, HU,  64, NEQ,   45,   60,   50,   25, 1005,  190,  17,   0,  25,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030500,   , BEST,   0, 197S,  724E, 115,  942, HU,  34, NEQ,  150,  185,  155,  110, 1008,  190,  17,   0,  25,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030500,   , BEST,   0, 197S,  724E, 115,  942, HU,  50, NEQ,   85,  105,   85,   55, 1008,  190,  17,   0,  25,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030500,   , BEST,   0, 197S,  724E, 115,  942, HU,  64, NEQ,   45,   55,   45,   30, 1008,  190,  17,   0,  25,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030506,   , BEST,   0, 204S,  721E, 110,  946, HU,  34, NEQ,  105,  155,  155,   95, 1005,  195,  12,   0,  15,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030506,   , BEST,   0, 204S,  721E, 110,  946, HU,  50, NEQ,   65,   75,   75,   65, 1005,  195,  12,   0,  15,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030506,   , BEST,   0, 204S,  721E, 110,  946, HU,  64, NEQ,   40,   50,   50,   40, 1005,  195,  12,   0,  15,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030512,   , BEST,   0, 210S,  716E, 105,  946, HU,  34, NEQ,  140,  260,  205,  110, 1003,  195,  15,   0,  20,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030512,   , BEST,   0, 210S,  716E, 105,  946, HU,  50, NEQ,   75,  150,  115,   55, 1003,  195,  15,   0,  20,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030512,   , BEST,   0, 210S,  716E, 105,  946, HU,  64, NEQ,   40,   80,   65,   30, 1003,  195,  15,   0,  20,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030518,   , BEST,   0, 216S,  713E,  95,  956, HU,  34, NEQ,  150,  240,  200,   95, 1005,  195,  15,   0,  20,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030518,   , BEST,   0, 216S,  713E,  95,  956, HU,  50, NEQ,   80,  140,  105,   50, 1005,  195,  15,   0,  20,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030518,   , BEST,   0, 216S,  713E,  95,  956, HU,  64, NEQ,   45,   75,   60,   25, 1005,  195,  15,   0,  20,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030600,   , BEST,   0, 223S,  708E,  90,  961, HU,  34, NEQ,  135,  225,  180,   90, 1005,  195,  15,   0,  20,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030600,   , BEST,   0, 223S,  708E,  90,  961, HU,  50, NEQ,   70,  130,   95,   45, 1005,  195,  15,   0,  20,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030600,   , BEST,   0, 223S,  708E,  90,  961, HU,  64, NEQ,   40,   55,   50,   25, 1005,  195,  15,   0,  20,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030606,   , BEST,   0, 229S,  700E,  85,  964, HU,  34, NEQ,  145,  190,  175,  130, 1005,  195,  15,   0,   0,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030606,   , BEST,   0, 229S,  700E,  85,  964, HU,  50, NEQ,   75,   75,   60,   60, 1005,  195,  15,   0,   0,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030606,   , BEST,   0, 229S,  700E,  85,  964, HU,  64, NEQ,   45,   45,   35,   35, 1005,  195,  15,   0,   0,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030612,   , BEST,   0, 236S,  691E,  85,  963, HU,  34, NEQ,  145,  190,  175,  130, 1005,  200,  15,   0,   0,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030612,   , BEST,   0, 236S,  691E,  85,  963, HU,  50, NEQ,   75,   75,   60,   60, 1005,  200,  15,   0,   0,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030612,   , BEST,   0, 236S,  691E,  85,  963, HU,  64, NEQ,   45,   45,   30,   30, 1005,  200,  15,   0,   0,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030618,   , BEST,   0, 243S,  684E,  85,  962, HU,  34, NEQ,  160,  220,  190,  110, 1005,  185,  20,   0,   0,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030618,   , BEST,   0, 243S,  684E,  85,  962, HU,  50, NEQ,   85,  150,  105,   55, 1005,  185,  20,   0,   0,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030618,   , BEST,   0, 243S,  684E,  85,  962, HU,  64, NEQ,   45,   65,   55,   30, 1005,  185,  20,   0,   0,   S,   0,    ,   0,   0,      HALEH, D, 
SH, 17, 2019030700,   , BEST,   0, 251S,  681E,  75,  966, HU,  34, NEQ,  150,  215,  195,  115, 1003,  195,  20,   0,   0,   S,   0,    ,   0,   0,      HALEH, D, 
