SH, 07, 2018012506,   , BEST,   0,  94S,  802E,  15, 1010, DB,   0,    ,    0,    0,    0,    0, 1006,  150,  65,   0,   0,   S,   0,    ,   0,   0,     INVEST, S,  
SH, 07, 2018012512,   , BEST,   0,  96S,  806E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1005,  160,  60,   0,   0,   S,   0,    ,   0,   0,     INVEST, S,  
SH, 07, 2018012518,   , BEST,   0, 100S,  813E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1005,  160,  60,   0,   0,   S,   0,    ,   0,   0,     INVEST, S,  
SH, 07, 2018012600,   , BEST,   0, 104S,  820E,  30, 1002, TD,   0,    ,    0,    0,    0,    0, 1006,  170,  55,   0,   0,   S,   0,    ,   0,   0,     INVEST, S,  
SH, 07, 2018012606,   , BEST,   0, 106S,  825E,  35, 1000, TS,  34, NEQ,   70,   40,   30,   60, 1006,  170,  55,   0,   0,   S,   0,    ,   0,   0,     INVEST, S,  
SH, 07, 2018012612,   , BEST,   0, 103S,  832E,  35, 1000, TS,  34, NEQ,   70,   40,   40,   70, 1005,  185,  55,   0,   0,   S,   0,    ,   0,   0,     INVEST, S,  
SH, 07, 2018012618,   , BEST,   0, 105S,  842E,  35, 1000, TS,  34, NEQ,   80,   40,   50,   70, 1006,  220,  60,   0,   0,   S,   0,    ,   0,   0,     INVEST, S,  
SH, 07, 2018012700,   , BEST,   0, 108S,  847E,  35, 1000, TS,  34, NEQ,   80,   50,   50,   80, 1006,  200,  55,  40,   0,   S,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, TRANSITIONED, shC12018 to sh072018,                                                                                                                                                                                       
SH, 07, 2018012706,   , BEST,   0, 111S,  849E,  40,  998, TS,  34, NEQ,   80,   60,   60,   80, 1005,  220,  35,   0,   0,   S,   0,    ,   0,   0,      SEVEN, M,  
SH, 07, 2018012712,   , BEST,   0, 114S,  849E,  50,  992, TS,  34, NEQ,   80,   70,   70,   80, 1005,  260,  35,   0,   0,   S,   0,    ,   0,   0,      SEVEN, M,  
SH, 07, 2018012712,   , BEST,   0, 114S,  849E,  50,  992, TS,  50, NEQ,   36,   29,   29,   36, 1005,  260,  35,   0,   0,   S,   0,    ,   0,   0,      SEVEN, M,  
SH, 07, 2018012718,   , BEST,   0, 117S,  847E,  55,  989, TS,  34, NEQ,   90,   90,   80,   80, 1004,  200,  35,  55,   0,   S,   0,    ,   0,   0,      SEVEN, M,  
SH, 07, 2018012718,   , BEST,   0, 117S,  847E,  55,  989, TS,  50, NEQ,   42,   42,   36,   36, 1004,  200,  35,  55,   0,   S,   0,    ,   0,   0,      SEVEN, M,  
SH, 07, 2018012800,   , BEST,   0, 125S,  844E,  65,  982, HU,  34, NEQ,  100,  100,   90,   90, 1004,  170,  35,   0,   0,   S,   0,    ,   0,   0,     CEBILE, M,  
SH, 07, 2018012800,   , BEST,   0, 125S,  844E,  65,  982, HU,  50, NEQ,   49,   49,   43,   43, 1004,  170,  35,   0,   0,   S,   0,    ,   0,   0,     CEBILE, M,  
SH, 07, 2018012800,   , BEST,   0, 125S,  844E,  65,  982, HU,  64, NEQ,   25,   25,   22,   22, 1004,  170,  35,   0,   0,   S,   0,    ,   0,   0,     CEBILE, M,  
SH, 07, 2018012806,   , BEST,   0, 133S,  837E,  80,  971, HU,  34, NEQ,  110,  110,  100,   90, 1004,  180,  30,   0,   0,   S,   0,    ,   0,   0,     CEBILE, D,  
SH, 07, 2018012806,   , BEST,   0, 133S,  837E,  80,  971, HU,  50, NEQ,   56,   56,   50,   44, 1004,  180,  30,   0,   0,   S,   0,    ,   0,   0,     CEBILE, D,  
SH, 07, 2018012806,   , BEST,   0, 133S,  837E,  80,  971, HU,  64, NEQ,   29,   29,   26,   22, 1004,  180,  30,   0,   0,   S,   0,    ,   0,   0,     CEBILE, D,  
SH, 07, 2018012812,   , BEST,   0, 137S,  832E,  95,  961, HU,  34, NEQ,  110,  120,  110,  100, 1004,  200,  12,   0,  15,   S,   0,    ,   0,   0,     CEBILE, D,  
SH, 07, 2018012812,   , BEST,   0, 137S,  832E,  95,  961, HU,  50, NEQ,   57,   63,   57,   51, 1004,  200,  12,   0,  15,   S,   0,    ,   0,   0,     CEBILE, D,  
SH, 07, 2018012812,   , BEST,   0, 137S,  832E,  95,  961, HU,  64, NEQ,   30,   34,   30,   27, 1004,  200,  12,   0,  15,   S,   0,    ,   0,   0,     CEBILE, D,  
SH, 07, 2018012818,   , BEST,   0, 142S,  827E, 115,  945, HU,  34, NEQ,  120,  130,  120,  100, 1006,  200,  12,   0,  15,   S,   0,    ,   0,   0,     CEBILE, D,  
SH, 07, 2018012818,   , BEST,   0, 142S,  827E, 115,  945, HU,  50, NEQ,   64,   71,   64,   52, 1006,  200,  12,   0,  15,   S,   0,    ,   0,   0,     CEBILE, D,  
SH, 07, 2018012818,   , BEST,   0, 142S,  827E, 115,  945, HU,  64, NEQ,   34,   38,   34,   27, 1006,  200,  12,   0,  15,   S,   0,    ,   0,   0,     CEBILE, D,  
SH, 07, 2018012900,   , BEST,   0, 148S,  821E, 115,  945, HU,  34, NEQ,  130,  140,  130,  110, 1006,  200,  12,   0,  15,   S,   0,    ,   0,   0,     CEBILE, D,  
SH, 07, 2018012900,   , BEST,   0, 148S,  821E, 115,  945, HU,  50, NEQ,   71,   77,   71,   58, 1006,  200,  12,   0,  15,   S,   0,    ,   0,   0,     CEBILE, D,  
SH, 07, 2018012900,   , BEST,   0, 148S,  821E, 115,  945, HU,  64, NEQ,   38,   41,   38,   31, 1006,  200,  12,   0,  15,   S,   0,    ,   0,   0,     CEBILE, D,  
SH, 07, 2018012906,   , BEST,   0, 153S,  815E, 110,  950, HU,  34, NEQ,  130,  140,  140,  110, 1006,  200,  12,   0,  15,   S,   0,    ,   0,   0,     CEBILE, D,  
SH, 07, 2018012906,   , BEST,   0, 153S,  815E, 110,  950, HU,  50, NEQ,   70,   77,   77,   58, 1006,  200,  12,   0,  15,   S,   0,    ,   0,   0,     CEBILE, D,  
SH, 07, 2018012906,   , BEST,   0, 153S,  815E, 110,  950, HU,  64, NEQ,   38,   41,   41,   31, 1006,  200,  12,   0,  15,   S,   0,    ,   0,   0,     CEBILE, D,  
SH, 07, 2018012912,   , BEST,   0, 155S,  812E, 110,  949, HU,  34, NEQ,  130,  140,  140,  110, 1006,  200,   7,   0,   5,   S,   0,    ,   0,   0,     CEBILE, D,  
SH, 07, 2018012912,   , BEST,   0, 155S,  812E, 110,  949, HU,  50, NEQ,   70,   77,   77,   58, 1006,  200,   7,   0,   5,   S,   0,    ,   0,   0,     CEBILE, D,  
SH, 07, 2018012912,   , BEST,   0, 155S,  812E, 110,  949, HU,  64, NEQ,   38,   41,   41,   31, 1006,  200,   7,   0,   5,   S,   0,    ,   0,   0,     CEBILE, D,  
SH, 07, 2018012918,   , BEST,   0, 157S,  807E, 100,  959, HU,  34, NEQ,  120,  140,  140,  110, 1008,  190,   7,   0,   5,   S,   0,    ,   0,   0,     CEBILE, D,  
SH, 07, 2018012918,   , BEST,   0, 157S,  807E, 100,  959, HU,  50, NEQ,   64,   76,   76,   57, 1008,  190,   7,   0,   5,   S,   0,    ,   0,   0,     CEBILE, D,  
SH, 07, 2018012918,   , BEST,   0, 157S,  807E, 100,  959, HU,  64, NEQ,   34,   41,   41,   30, 1008,  190,   7,   0,   5,   S,   0,    ,   0,   0,     CEBILE, D,  
SH, 07, 2018013000,   , BEST,   0, 159S,  803E, 100,  955, HU,  34, NEQ,  120,  150,  150,  110, 1006,  190,  15,   0,  20,   S,   0,    ,   0,   0,     CEBILE, D,  
SH, 07, 2018013000,   , BEST,   0, 159S,  803E, 100,  955, HU,  50, NEQ,   64,   83,   83,   57, 1006,  190,  15,   0,  20,   S,   0,    ,   0,   0,     CEBILE, D,  
