IO, 96, 2020112100,   , BEST,   0, 070N, 0561E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  150,  25,   0,   0,   A,   0,   X, 185,   5,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO962020, JTWC, NCEP_TCVITALS, 
IO, 96, 2020112106,   , BEST,   0, 065N, 0565E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  150,  25,   0,   0,   A,   0,   X, 125,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO962020, JTWC, NCEP_TCVITALS, 
IO, 96, 2020112112,   , BEST,   0, 067N, 0571E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  150,  25,   0,   0,   A,   0,   X, 100,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO962020, JTWC, NCEP_TCVITALS, 
IO, 96, 2020112118,   , BEST,   0, 071N, 0580E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,   80,  25,   0,   0,   A,   0,   X,  75,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO962020, JTWC, NCEP_TCVITALS, 
IO, 96, 2020112200,   , BEST,   0, 075N, 0591E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,   80,  25,   0,   0,   A,   0,   X,  70,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO962020, JTWC, NCEP_TCVITALS, 
