EP, 14, 2024110206,   , BEST,   0, 113N, 1099W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 1012,  120,  40,   0,   0,   E,   0,    ,   0,   0, GENESIS035,  ,  0,    ,    0,    0,    0,    0, genesis-num, 035, 
EP, 14, 2024110212,   , BEST,   0, 113N, 1102W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 1012,  120,  30,   0,   0,   E,   0,    ,   0,   0, GENESIS035,  ,  0,    ,    0,    0,    0,    0, genesis-num, 035, 
EP, 14, 2024110218,   , BEST,   0, 114N, 1105W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1012,  120,  30,   0,   0,   E,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 035, SPAWNINVEST, ep782024 to ep932024, 
EP, 14, 2024110300,   , BEST,   0, 115N, 1108W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1012,  120,  30,   0,   0,   E,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 035, 
EP, 14, 2024110306,   , BEST,   0, 114N, 1109W,  25, 1008, LO,   0,    ,    0,    0,    0,    0, 1013,  120,  30,   0,   0,   E,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 035, 
EP, 14, 2024110312,   , BEST,   0, 113N, 1108W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 1013,  120,  30,   0,   0,   E,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 035, 
EP, 14, 2024110318,   , BEST,   0, 113N, 1108W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 1012,  120,  30,   0,   0,   E,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 035, 
EP, 14, 2024110400,   , BEST,   0, 111N, 1104W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 1011,  120,  20,   0,   0,   E,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 035, 
EP, 14, 2024110406,   , BEST,   0, 110N, 1100W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 1011,  120,  20,   0,   0,   E,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 035, 
EP, 14, 2024110412,   , BEST,   0, 110N, 1096W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 1011,  120,  20,   0,   0,   E,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 035, 
EP, 14, 2024110418,   , BEST,   0, 110N, 1092W,  30, 1007, LO,   0,    ,    0,    0,    0,    0, 1011,  120,  20,   0,   0,   E,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 035, 
EP, 14, 2024110500,   , BEST,   0, 110N, 1087W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  120,  20,   0,   0,   E,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 035, 
EP, 14, 2024110506,   , BEST,   0, 112N, 1082W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  120,  20,   0,   0,   E,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 035, 
EP, 14, 2024110512,   , BEST,   0, 116N, 1076W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  120,  30,   0,   0,   E,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 035, 
EP, 14, 2024110518,   , BEST,   0, 121N, 1071W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  120,  30,   0,   0,   E,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 035, 
EP, 14, 2024110600,   , BEST,   0, 126N, 1068W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  120,  30,   0,   0,   E,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 035, 
EP, 14, 2024110606,   , BEST,   0, 129N, 1065W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  120,  30,   0,   0,   E,   0,    ,   0,   0,     INVEST, S,  0,    ,    0,    0,    0,    0, genesis-num, 035, 
EP, 14, 2024110612,   , BEST,   0, 133N, 1060W,  30, 1006, TD,   0,    ,    0,    0,    0,    0, 1010,  120,  50,  40,   0,   E,   0,    ,   0,   0,   FOURTEEN, S,  0,    ,    0,    0,    0,    0, genesis-num, 035, TRANSITIONED, epC32024 to ep142024, 
EP, 14, 2024110618,   , BEST,   0, 137N, 1054W,  25, 1007, TD,   0,    ,    0,    0,    0,    0, 1010,  120,  70,  35,   0,   E,   0,    ,   0,   0,   FOURTEEN, S,  0,    ,    0,    0,    0,    0, genesis-num, 035, 
EP, 14, 2024110700,   , BEST,   0, 136N, 1051W,  25, 1007, TD,   0,    ,    0,    0,    0,    0, 1010,  120,  80,  35,   0,   E,   0,    ,   0,   0,   FOURTEEN, S,  0,    ,    0,    0,    0,    0, genesis-num, 035, 
EP, 14, 2024110706,   , BEST,   0, 133N, 1049W,  25, 1008, TD,   0,    ,    0,    0,    0,    0, 1010,  120,  90,  35,   0,   E,   0,    ,   0,   0,   FOURTEEN, S,  0,    ,    0,    0,    0,    0, genesis-num, 035, 
