SH, 93, 2013020912,   , BEST,   0, 201S, 1565W,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1004,  150,  40,   0,   0,   P,   0,   X, 130,  15,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932013, JTWC, MT2C_TCVITALS, 
SH, 93, 2013020918,   , BEST,   0, 211S, 1547W,  45,  989, XX,  34, NEQ,   35,   35,   35,   35, 1001,  150,  25,   0,   0,   P,   0,   X, 130,  16,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932013, JTWC, MT2C_TCVITALS, 
SH, 93, 2013020918,   , BEST,   0, 209S, 1548W,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1001,  150,  40,   0,   0,   P,   0,   X, 130,  15,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932013, JTWC, MT2C_TCVITALS, 
SH, 93, 2013030506,   , BEST,   0, 111S, 0720E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 120,   8,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932013, JTWC, MT2C_TCVITALS, 
SH, 93, 2013030512,   , BEST,   0, 116S, 0727E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  180,  50,   0,   0,   S,   0,   X, 120,   8,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932013, JTWC, MT2C_TCVITALS, 
SH, 93, 2013030512,   , BEST,   0, 115S, 0734E,  15, 1004, XX,  34, NEQ,    0,    0,    0,    0, -999, -999, -53,   0,   0,   S,   0,   X, 111,  11,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932013, JTWC, MT2C_TCVITALS, 
SH, 93, 2013030518,   , BEST,   0, 125S, 0738E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  180,  50,   0,   0,   S,   0,   X, 125,  10,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932013, JTWC, MT2C_TCVITALS, 
SH, 93, 2013030600,   , BEST,   0, 123S, 0744E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  180,  50,   0,   0,   S,   0,   X, 115,   9,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932013, JTWC, MT2C_TCVITALS, 
SH, 93, 2013030606,   , BEST,   0, 132S, 0752E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1006,  180,  50,   0,   0,   S,   0,   X, 125,  10,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932013, JTWC, MT2C_TCVITALS, 
SH, 93, 2013030612,   , BEST,   0, 138S, 0749E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1006,  180,  50,   0,   0,   S,   0,   X, 135,   7,     INVEST,  ,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH932013, JTWC, MT2C_TCVITALS, 
