WP, 96, 2014072500,   , BEST,   0, 070N, 1370E,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1010,  160,  45,   0,   0,   W,   0,   X, 110,  10,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072506,   , BEST,   0, 066N, 1351E,  15, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1007,  160,  45,   0,   0,   W,   0,   X, 180,   1,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072512,   , BEST,   0, 078N, 1352E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1009,  200,  45,   0,   0,   W,   0,   X, 330,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072518,   , BEST,   0, 079N, 1347E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1009,  200,  45,   0,   0,   W,   0,   X, 295,   3,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072600,   , BEST,   0, 090N, 1332E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  200,  45,   0,   0,   W,   0,   X, 320,  10,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072606,   , BEST,   0, 104N, 1340E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  200,  45,   0,   0,   W,   0,   X, 340,  10,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072612,   , BEST,   0, 120N, 1347E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  200,  55,   0,   0,   W,   0,   X,    ,  14,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072618,   , BEST,   0, 135N, 1344E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1007,  200,  55,   0,   0,   W,   0,   X,  15,  16,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072700,   , BEST,   0, 144N, 1345E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1007,  200,  55,   0,   0,   W,   0,   X,   5,  13,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072706,   , BEST,   0, 152N, 1339E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  200,  40,   0,   0,   W,   0,   X, 345,  11,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072712,   , BEST,   0, 159N, 1339E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  220,  40,   0,   0,   W,   0,   X, 350,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072718,   , BEST,   0, 165N, 1340E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1008,  220,  40,   0,   0,   W,   0,   X, 345,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072800,   , BEST,   0, 174N, 1337E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  220,  40,   0,   0,   W,   0,   X, 350,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072806,   , BEST,   0, 181N, 1338E,  20, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1006,  250,  40,   0,   0,   W,   0,   X,    ,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072812,   , BEST,   0, 186N, 1334E,  20, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1005,  275,  50,   0,   0,   W,   0,   X, 345,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072818,   , BEST,   0, 189N, 1325E,  20, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1004,  275,  50,   0,   0,   W,   0,   X, 320,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072900,   , BEST,   0, 189N, 1313E,  20, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1004,  275,  50,   0,   0,   W,   0,   X, 290,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
WP, 96, 2014072906,   , BEST,   0, 188N, 1312E,  20,  996, XX,  34, NEQ,    0,    0,    0,    0, 1004,  360, 150,   0,   0,   W,   0,   X, 315,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP962014, JTWC, NCEP_TCVITALS, 
