AL, 04, 2001081418,   , BEST,   0, 128N,  370W,  25, 1010, TD,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001081500,   , BEST,   0, 129N,  393W,  25, 1010, TD,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001081506,   , BEST,   0, 126N,  416W,  25, 1010, TD,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001081512,   , BEST,   0, 123N,  439W,  30, 1010, TD,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001081518,   , BEST,   0, 123N,  463W,  30, 1010, TD,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001081600,   , BEST,   0, 124N,  488W,  30, 1010, TD,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001081606,   , BEST,   0, 124N,  513W,  30, 1011, TD,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001081612,   , BEST,   0, 127N,  539W,  30, 1012, WV,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001081618,   , BEST,   0, 127N,  572W,  30, 1012, WV,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001081700,   , BEST,   0, 131N,  606W,  35, 1011, WV,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001081706,   , BEST,   0, 133N,  628W,  35, 1011, WV,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001081712,   , BEST,   0, 137N,  646W,  35, 1010, TS,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001081718,   , BEST,   0, 142N,  664W,  35, 1006, TS,  35, NEQ,  100,   75,    0,  100, 1014,  150,  50,   0,   0, 
AL, 04, 2001081800,   , BEST,   0, 144N,  682W,  45, 1004, TS,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001081806,   , BEST,   0, 146N,  704W,  55, 1003, TS,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001081812,   , BEST,   0, 148N,  729W,  50, 1006, TS,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001081818,   , BEST,   0, 153N,  752W,  50, 1003, TS,  35, NEQ,  125,   50,    0,   75, 1012,  150,  25,   0,   0, 
AL, 04, 2001081900,   , BEST,   0, 153N,  772W,  55, 1002, TS,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001081906,   , BEST,   0, 154N,  784W,  60,  997, TS,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001081912,   , BEST,   0, 157N,  796W,  60, 1004, TS,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001081918,   , BEST,   0, 162N,  811W,  55, 1005, TS,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001082000,   , BEST,   0, 167N,  826W,  50, 1007, TS,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001082006,   , BEST,   0, 171N,  841W,  50, 1008, TS,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001082012,   , BEST,   0, 175N,  856W,  50, 1007, TS,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001082018,   , BEST,   0, 179N,  867W,  55, 1006, TS,  35, NEQ,  175,  150,    0,   50, 1012,  120,  90,   0,   0, 
AL, 04, 2001082100,   , BEST,   0, 181N,  877W,  60, 1000, TS,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001082102,   , BEST,   0, 181N,  878W,  60,  999, TS,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001082106,   , BEST,   0, 182N,  881W,  55, 1000, TS,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001082112,   , BEST,   0, 184N,  887W,  45, 1002, TS,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001082118,   , BEST,   0, 186N,  895W,  35, 1006, TS,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001082200,   , BEST,   0, 187N,  903W,  25, 1007, TD,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001082206,   , BEST,   0, 184N,  912W,  25, 1008, TD,   0,    ,    0,    0,    0,    0, 
AL, 04, 2001082212,   , BEST,   0, 179N,  922W,  25, 1009, TD,  35, NEQ,    0,    0,    0,    0, 1014,  100,  60,   0,   0, 
