SH, 19, 2010031012,   , BEST,   0,  97S, 1728W,  25, 1004, DB,   0,    ,    0,    0,    0,    0, 
SH, 19, 2010031018,   , BEST,   0, 102S, 1731W,  25, 1004, DB,   0,    ,    0,    0,    0,    0, 1008,  150,  50,   0,   0,   P,   0,    ,   0,   0,     INVEST, S, 
SH, 19, 2010031100,   , BEST,   0, 106S, 1736W,  30, 1000, DB,   0,    ,    0,    0,    0,    0, 1008,  155,  45,   0,   0,   P,   0,    ,   0,   0,     INVEST, S, 
SH, 19, 2010031106,   , BEST,   0, 109S, 1744W,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1007,  155,  40,   0,   0,   P,   0,    ,   0,   0,     INVEST, S, 
SH, 19, 2010031112,   , BEST,   0, 108S, 1753W,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1007,  155,  35,   0,   0,   P,   0,    ,   0,   0,   NINETEEN, S, 
SH, 19, 2010031118,   , BEST,   0, 105S, 1757W,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1008,  165,  35,   0,   0,   P,   0,    ,   0,   0,   NINETEEN, S, 
SH, 19, 2010031200,   , BEST,   0, 107S, 1761W,  40,  993, TS,  34, NEQ,   45,   45,   45,   45, 1007,  170,  30,   0,   0,   P,   0,    ,   0,   0,   NINETEEN, M, 
SH, 19, 2010031206,   , BEST,   0, 109S, 1766W,  45,  989, TS,  34, NEQ,   35,   35,   35,   35, 1002,  170,  30,   0,   0,   P,   0,    ,   0,   0,      TOMAS, M, 
SH, 19, 2010031212,   , BEST,   0, 111S, 1771W,  55,  982, TS,  34, NEQ,   55,   55,   55,   50, 1001,  185,  25,   0,   0,   P,   0,    ,   0,   0,      TOMAS, M, 
SH, 19, 2010031212,   , BEST,   0, 111S, 1771W,  55,  982, TS,  50, NEQ,   25,   25,   25,   25, 1001,  185,  25,   0,   0,   P,   0,    ,   0,   0,      TOMAS, M, 
SH, 19, 2010031218,   , BEST,   0, 113S, 1776W,  60,  978, TS,  34, NEQ,   55,   55,   55,   50, 1001,  185,  25,   0,   0,   P,   0,    ,   0,   0,      TOMAS, M, 
SH, 19, 2010031218,   , BEST,   0, 113S, 1776W,  60,  978, TS,  50, NEQ,   25,   25,   25,   25, 1001,  185,  25,   0,   0,   P,   0,    ,   0,   0,      TOMAS, M, 
SH, 19, 2010031300,   , BEST,   0, 116S, 1780W,  65,  974, HU,  34, NEQ,   65,   65,   75,   75, 1001,  185,  25,   0,   0,   P,   0,    ,   0,   0,      TOMAS, M, 
SH, 19, 2010031300,   , BEST,   0, 116S, 1780W,  65,  974, HU,  50, NEQ,   30,   30,   30,   30, 1001,  185,  25,   0,   0,   P,   0,    ,   0,   0,      TOMAS, M, 
SH, 19, 2010031306,   , BEST,   0, 121S, 1783W,  65,  974, HU,  34, NEQ,   65,   65,   70,   65, 1002,  200,  25,   0,   0,   P,   0,    ,   0,   0,      TOMAS, D, 
SH, 19, 2010031306,   , BEST,   0, 121S, 1783W,  65,  974, HU,  50, NEQ,   30,   30,   30,   30, 1002,  200,  25,   0,   0,   P,   0,    ,   0,   0,      TOMAS, D, 
SH, 19, 2010031312,   , BEST,   0, 125S, 1787W,  65,  974, HU,  34, NEQ,   65,   65,   70,   65, 1003,  220,  25,   0,   0,   P,   0,    ,   0,   0,      TOMAS, D, 
SH, 19, 2010031312,   , BEST,   0, 125S, 1787W,  65,  974, HU,  50, NEQ,   30,   30,   30,   30, 1003,  220,  25,   0,   0,   P,   0,    ,   0,   0,      TOMAS, D, 
