SH, 05, 2015010906,   , BEST,   0, 190S,  528E,  15, 1010, DB,   0,    ,    0,    0,    0,    0, 
SH, 05, 2015010912,   , BEST,   0, 185S,  528E,  20, 1006, DB,   0,    ,    0,    0,    0,    0, 1008,  180,  40,   0,   0, 
SH, 05, 2015010918,   , BEST,   0, 180S,  529E,  20, 1006, DB,   0,    ,    0,    0,    0,    0, 1008,  180,  40,   0,   0, 
SH, 05, 2015011000,   , BEST,   0, 174S,  530E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1008,  180,  40,   0,   0, 
SH, 05, 2015011006,   , BEST,   0, 168S,  531E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1009,  200,  40,   0,   0, 
SH, 05, 2015011012,   , BEST,   0, 163S,  533E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1007,  200,  40,   0,   0, 
SH, 05, 2015011018,   , BEST,   0, 158S,  538E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1006,  160,  40,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 05, 2015011100,   , BEST,   0, 159S,  545E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1006,  180,  40,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 05, 2015011106,   , BEST,   0, 163S,  548E,  45,  989, TS,   0,    ,    0,    0,    0,    0, 1007,  180,  40,   0,   0,   S,   0,    ,   0,   0,       FIVE, M,  0,    ,    0,    0,    0,    0, TRANSITIONED, shC22015 to sh052015, 
SH, 05, 2015011112,   , BEST,   0, 168S,  549E,  55,  982, TS,  34, NEQ,   40,   40,   40,   40, 1007,  200,  30,   0,   0,   S,   0,    ,   0,   0,      BANSI, M, 
SH, 05, 2015011118,   , BEST,   0, 172S,  550E,  65,  974, HU,  34, NEQ,   75,   75,   70,   70, 1006,  200,  17,   0,  25,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011118,   , BEST,   0, 172S,  550E,  65,  974, HU,  50, NEQ,   40,   40,   40,   40, 1006,  200,  17,   0,  25,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011200,   , BEST,   0, 172S,  553E,  85,  959, HU,  34, NEQ,   75,   75,   70,   70, 1006,  200,  20,   0,  30,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011200,   , BEST,   0, 172S,  553E,  85,  959, HU,  50, NEQ,   40,   40,   40,   40, 1006,  200,  20,   0,  30,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011200,   , BEST,   0, 172S,  553E,  85,  959, HU,  64, NEQ,   25,   25,   25,   25, 1006,  200,  20,   0,  30,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011206,   , BEST,   0, 172S,  559E, 100,  948, HU,  34, NEQ,  105,   95,   80,   90, 1008,  205,  15,   0,  20,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011206,   , BEST,   0, 172S,  559E, 100,  948, HU,  50, NEQ,   60,   55,   50,   50, 1008,  205,  15,   0,  20,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011206,   , BEST,   0, 172S,  559E, 100,  948, HU,  64, NEQ,   30,   30,   25,   25, 1008,  205,  15,   0,  20,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011209,   , BEST,   0, 173S,  563E, 100,  948, HU,  34, NEQ,  105,   95,   80,   90, 1008,  205,  15,   0,   0,    ,   0,    ,   0,   0,      BANSI,  , 
SH, 05, 2015011209,   , BEST,   0, 173S,  563E, 100,  948, HU,  50, NEQ,   60,   55,   50,   50, 1008,  205,  15,   0,   0,    ,   0,    ,   0,   0,      BANSI,  , 
SH, 05, 2015011209,   , BEST,   0, 173S,  563E, 100,  948, HU,  64, NEQ,   30,   30,   25,   25, 1008,  205,  15,   0,   0,    ,   0,    ,   0,   0,      BANSI,  , 
SH, 05, 2015011212,   , BEST,   0, 175S,  567E, 115,  937, HU,  34, NEQ,  130,  145,  135,  140, 1009,  200,  10,   0,  10,   S,   0,    ,   0,   0,      BANSI, D, 
SH, 05, 2015011212,   , BEST,   0, 175S,  567E, 115,  937, HU,  50, NEQ,   65,   60,   50,   55, 1009,  200,  10,   0,  10,   S,   0,    ,   0,   0,      BANSI, D, 
