EP, 17, 2017091712,   , BEST,   0, 206N, 1105W,  45, 1001, TS,  34, NEQ,   70,   60,   70,   80, 1011,  180,  50,  50,   0,   E,   0,    ,   0,   0,      NORMA, M, 12, NEQ,  120,   90,   90,  120, 
EP, 17, 2017091718,   , BEST,   0, 210N, 1108W,  45, 1001, TS,  34, NEQ,   60,   60,   60,   70, 1011,  180,  40,  55,   0,   E,   0,    ,   0,   0,      NORMA, M, 12, NEQ,  120,   90,   60,  120, 
EP, 17, 2017091800,   , BEST,   0, 211N, 1112W,  45,  999, TS,  34, NEQ,   60,   50,   60,   60, 1009,  180,  40,  55,   0,   E,   0,    ,   0,   0,      NORMA, M, 12, NEQ,  180,   90,   90,  120, 
EP, 17, 2017091806,   , BEST,   0, 212N, 1116W,  45,  999, TS,  34, NEQ,   60,   50,   60,   60, 1009,  180,  40,  55,   0,   E,   0,    ,   0,   0,      NORMA, M, 12, NEQ,  150,   75,   90,  120, 
EP, 17, 2017091812,   , BEST,   0, 213N, 1120W,  45,  999, TS,  34, NEQ,   60,   50,   60,   60, 1009,  180,  40,  55,   0,   E,   0,    ,   0,   0,      NORMA, M, 
EP, 17, 2017091818,   , BEST,   0, 214N, 1125W,  40, 1002, TS,  34, NEQ,   60,   50,   60,   60, 1009,  180,  40,  50,   0,   E,   0,    ,   0,   0,      NORMA, M, 12, NEQ,  120,   60,   60,  120, 
EP, 17, 2017091900,   , BEST,   0, 214N, 1131W,  35, 1004, TS,  34, NEQ,   50,   40,   50,   50, 1009,  180,  40,  45,   0,   E,   0,    ,   0,   0,      NORMA, M, 
EP, 17, 2017091906,   , BEST,   0, 214N, 1136W,  30, 1004, TD,   0,    ,    0,    0,    0,    0, 1009,  180,  40,  40,   0,   E,   0,    ,   0,   0,      NORMA, M, 
EP, 17, 2017091912,   , BEST,   0, 215N, 1142W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1010,  180,  30,  40,   0,   E,   0,    ,   0,   0,      NORMA, M, 
EP, 17, 2017091918,   , BEST,   0, 217N, 1148W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1010,  180,  30,  40,   0,   E,   0,    ,   0,   0,      NORMA, S, 
EP, 17, 2017092000,   , BEST,   0, 219N, 1154W,  30, 1006, LO,   0,    ,    0,    0,    0,    0, 1010,  180,  30,  40,   0,   E,   0,    ,   0,   0,      NORMA, S, 12, NEQ,   60,   30,   30,   60, 
EP, 17, 2017092006,   , BEST,   0, 220N, 1160W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  180,  30,   0,   0,    ,   0,    ,   0,   0,      NORMA,  , 
EP, 17, 2017092012,   , BEST,   0, 221N, 1166W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  180,  30,   0,   0,    ,   0,    ,   0,   0,      NORMA,  , 
EP, 17, 2017092018,   , BEST,   0, 221N, 1172W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  180,  30,   0,   0,    ,   0,    ,   0,   0,      NORMA,  , 
EP, 17, 2017092100,   , BEST,   0, 221N, 1175W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  180,  30,   0,   0,    ,   0,    ,   0,   0,      NORMA,  , 
EP, 17, 2017092106,   , BEST,   0, 224N, 1175W,  25, 1007, LO,   0,    ,    0,    0,    0,    0, 1010,  180,  30,   0,   0,    ,   0,    ,   0,   0,      NORMA,  , 
EP, 17, 2017092112,   , BEST,   0, 225N, 1173W,  20, 1008, LO,   0,    ,    0,    0,    0,    0, 1010,  180,  30,   0,   0,    ,   0,    ,   0,   0,      NORMA,  , 
EP, 17, 2017092118,   , BEST,   0, 226N, 1170W,  20, 1008, LO,   0,    ,    0,    0,    0,    0, 1010,  180,  30,   0,   0,    ,   0,    ,   0,   0,      NORMA,  , 
EP, 17, 2017092200,   , BEST,   0, 225N, 1165W,  20, 1010, LO,   0,    ,    0,    0,    0,    0, 1010,  180,  30,   0,   0,    ,   0,    ,   0,   0,      NORMA,  , 
EP, 17, 2017092206,   , BEST,   0, 223N, 1160W,  20, 1010, LO,  34, NEQ,    0,    0,    0,    0, 1010,  180,  30,   0,   0,    ,   0,    ,   0,   0,      NORMA,  , 
