WP, 20, 2021092800,   , BEST,   0, 210N, 1362E,  95,  957, XX,  34, NEQ,  180,  190,  155,  160, 1006,  360,  22,   0,   0,   W,   0,   X, 340,   4,   MINDULLE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021092806,   , BEST,   0, 217N, 1357E,  95,  954, XX,  34, NEQ,  200,  200,  195,  170, 1004,  360,  20,   0,   0,   W,   0,   X, 340,   6,   MINDULLE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021092812,   , BEST,   0, 220N, 1355E, 100,  949, XX,  34, NEQ,  195,  200,  195,  190, 1004,  360,  15,   0,   0,   W,   0,   X, 335,   6,   MINDULLE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021092818,   , BEST,   0, 226N, 1356E, 105,  944, XX,  34, NEQ,  205,  175,  195,  190, 1004,  360,  15,   0,   0,   W,   0,   X, 340,   6,   MINDULLE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021092900,   , BEST,   0, 233N, 1354E, 115,  934, XX,  34, NEQ,  205,  175,  195,  190, 1004,  360,  15,   0,   0,   W,   0,   X, 350,   5,   MINDULLE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021092906,   , BEST,   0, 242N, 1354E, 115,  933, XX,  34, NEQ,  235,  240,  180,  215, 1005,  360,  22,   0,   0,   W,   0,   X,    ,   7,   MINDULLE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021092912,   , BEST,   0, 249N, 1355E, 115,  933, XX,  34, NEQ,  250,  285,  200,  230, 1007,  360,  22,   0,   0,   W,   0,   X,    ,   8,   MINDULLE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021092918,   , BEST,   0, 258N, 1359E, 110,  935, XX,  34, NEQ,  250,  285,  200,  230, 1005,  350,  22,   0,   0,   W,   0,   X,  10,   8,   MINDULLE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021093000,   , BEST,   0, 267N, 1364E, 100,  949, XX,  34, NEQ,  215,  225,  185,  170, 1005,  350,  22,   0,   0,   W,   0,   X,  10,  17,   MINDULLE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021093006,   , BEST,   0, 280N, 1373E,  90,  955, XX,  34, NEQ,  220,  200,  170,  160, 1005,  340,  22,   0,   0,   W,   0,   X,  25,  12,   MINDULLE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021093012,   , BEST,   0, 292N, 1383E,  80,  962, XX,  34, NEQ,  245,  275,  215,  190, 1006,  310,  17,   0,   0,   W,   0,   X,  30,  13,   MINDULLE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021093018,   , BEST,   0, 304N, 1393E,  80,  961, XX,  34, NEQ,  265,  270,  220,  200, 1006,  325,  20,   0,   0,   W,   0,   X,  35,  15,   MINDULLE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021100106,   , BEST,   0, 341N, 1431E,  75,  964, XX,  34, NEQ,  260,  300,  230,  215, 1006,  330,  20,   0,   0,   W,   0,   X,  40,  21,   MINDULLE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021100112,   , BEST,   0, 358N, 1443E,  65,  975, XX,  34, NEQ,  225,  220,  225,  220, 1006,  350,  40,   0,   0,   W,   0,   X,  35,  23,   MINDULLE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021100118,   , BEST,   0, 374N, 1456E,  55,  978, XX,  34, NEQ,  245,  290,  210,  175, 1007,  360,  50,   0,   0,   W,   0,   X,  35,  22,   MINDULLE, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
WP, 20, 2021100200,   , BEST,   0, 396N, 1476E,  45,  982, XX,  34, NEQ,  240,  280,  230,  185, 1007,  360,  55,   0,   0,   W,   0,   X,  35,  23,   MINDULLE, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP202021, JTWC, NCEP_TCVITALS, 
