EP, 21, 2014110306,   , BEST,   0, 140N, 1100W,  90,  971, HU,  64, NEQ,   15,   15,   10,   15, 1008,  200,   5, 110,   0,   E,   0,    ,   0,   0,      VANCE, D, 12, NEQ,  180,  150,  120,  150, 
EP, 21, 2014110312,   , BEST,   0, 149N, 1106W,  90,  969, HU,  34, NEQ,  110,  110,   50,  110, 1007,  175,  10, 110,   0,   E,   0,    ,   0,   0,      VANCE, D, 12, NEQ,  180,  210,  150,  150, 
EP, 21, 2014110312,   , BEST,   0, 149N, 1106W,  90,  969, HU,  50, NEQ,   40,   30,   20,   30, 1007,  175,  10, 110,   0,   E,   0,    ,   0,   0,      VANCE, D, 12, NEQ,  180,  210,  150,  150, 
EP, 21, 2014110312,   , BEST,   0, 149N, 1106W,  90,  969, HU,  64, NEQ,   15,   15,   10,   15, 1007,  175,  10, 110,   0,   E,   0,    ,   0,   0,      VANCE, D, 12, NEQ,  180,  210,  150,  150, 
EP, 21, 2014110318,   , BEST,   0, 159N, 1109W,  95,  964, HU,  34, NEQ,  110,  110,   60,   80, 1007,  175,   5, 115,   0,   E,   0,    ,   0,   0,      VANCE, D, 12, NEQ,  180,  210,  150,  180, 
EP, 21, 2014110318,   , BEST,   0, 159N, 1109W,  95,  964, HU,  50, NEQ,   40,   40,   20,   30, 1007,  175,   5, 115,   0,   E,   0,    ,   0,   0,      VANCE, D, 12, NEQ,  180,  210,  150,  180, 
EP, 21, 2014110318,   , BEST,   0, 159N, 1109W,  95,  964, HU,  64, NEQ,   15,   15,   10,   15, 1007,  175,   5, 115,   0,   E,   0,    ,   0,   0,      VANCE, D, 12, NEQ,  180,  210,  150,  180, 
EP, 21, 2014110400,   , BEST,   0, 169N, 1108W,  95,  964, HU,  34, NEQ,  110,  110,   60,   80, 1007,  175,   5, 115,   0,   E,   0,    ,   0,   0,      VANCE, D, 12, NEQ,  180,  210,  150,  180, 
EP, 21, 2014110400,   , BEST,   0, 169N, 1108W,  95,  964, HU,  50, NEQ,   40,   40,   30,   30, 1007,  175,   5, 115,   0,   E,   0,    ,   0,   0,      VANCE, D, 12, NEQ,  180,  210,  150,  180, 
EP, 21, 2014110400,   , BEST,   0, 169N, 1108W,  95,  964, HU,  64, NEQ,   15,   15,   10,   15, 1007,  175,   5, 115,   0,   E,   0,    ,   0,   0,      VANCE, D, 12, NEQ,  180,  210,  150,  180, 
EP, 21, 2014110406,   , BEST,   0, 179N, 1103W,  90,  968, HU,  34, NEQ,  110,  110,   60,   80, 1007,  175,  10, 110,   0,   E,   0,    ,   0,   0,      VANCE, D, 12, NEQ,  180,  210,  150,  180, 
EP, 21, 2014110406,   , BEST,   0, 179N, 1103W,  90,  968, HU,  50, NEQ,   40,   40,   30,   30, 1007,  175,  10, 110,   0,   E,   0,    ,   0,   0,      VANCE, D, 12, NEQ,  180,  210,  150,  180, 
EP, 21, 2014110406,   , BEST,   0, 179N, 1103W,  90,  968, HU,  64, NEQ,   20,   20,   10,   20, 1007,  175,  10, 110,   0,   E,   0,    ,   0,   0,      VANCE, D, 12, NEQ,  180,  210,  150,  180, 
EP, 21, 2014110412,   , BEST,   0, 189N, 1095W,  85,  972, HU,  34, NEQ,  110,  110,   60,   70, 1007,  175,  10, 105,   0,   E,   0,    ,   0,   0,      VANCE, D, 
EP, 21, 2014110412,   , BEST,   0, 189N, 1095W,  85,  972, HU,  50, NEQ,   30,   30,   30,   30, 1007,  175,  10, 105,   0,   E,   0,    ,   0,   0,      VANCE, D, 
EP, 21, 2014110412,   , BEST,   0, 189N, 1095W,  85,  972, HU,  64, NEQ,   20,   20,   10,   20, 1007,  175,  10, 105,   0,   E,   0,    ,   0,   0,      VANCE, D, 
EP, 21, 2014110418,   , BEST,   0, 199N, 1087W,  60,  990, TS,  34, NEQ,   90,   90,   40,   50, 1008,  160,  10,  75,   0,   E,   0,    ,   0,   0,      VANCE, M, 12, NEQ,  150,  150,  180,  180, 
EP, 21, 2014110418,   , BEST,   0, 199N, 1087W,  60,  990, TS,  50, NEQ,   20,   20,    0,    0, 1008,  160,  10,  75,   0,   E,   0,    ,   0,   0,      VANCE, M, 12, NEQ,  150,  150,  180,  180, 
EP, 21, 2014110500,   , BEST,   0, 207N, 1080W,  40, 1002, TS,  34, NEQ,   70,   80,   30,   40, 1008,  160,  15,  55,   0,   E,   0,    ,   0,   0,      VANCE, M, 12, NEQ,  120,  150,  120,  150, 
EP, 21, 2014110506,   , BEST,   0, 215N, 1073W,  30, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  120,  15,  40,   0,   E,   0,    ,   0,   0,      VANCE, M, 
