AL, 01, 2002071418,   , BEST,   0, 343N,  768W,  30, 1009, TD,  34, NEQ,    0,    0,    0,    0, 1014,  185,  40,   0,   0, 
AL, 01, 2002071500,   , BEST,   0, 350N,  751W,  30, 1008, TD,  34, NEQ,    0,    0,    0,    0, 1013,  150,  40,   0,   0, 
AL, 01, 2002071506,   , BEST,   0, 355N,  733W,  35, 1006, TS,  34, NEQ,    0,    0,    0,    0, 1013,  150,  50,   0,   0, 
AL, 01, 2002071512,   , BEST,   0, 361N,  710W,  45, 1004, TS,  34, NEQ,   60,   60,   45,    0, 1013,  150,  45,   0,   0, 
AL, 01, 2002071518,   , BEST,   0, 368N,  682W,  45, 1002, TS,  34, NEQ,   70,  100,   60,   30, 1013,  150,  30,   0,   0, 
AL, 01, 2002071600,   , BEST,   0, 379N,  651W,  50, 1000, TS,  34, NEQ,   75,  200,  200,   75, 1012,  175,  25,   0,   0, 
AL, 01, 2002071606,   , BEST,   0, 386N,  617W,  50,  998, TS,  34, NEQ,  100,  200,  150,   50, 1012,  175,  25,   0,   0, 
AL, 01, 2002071612,   , BEST,   0, 405N,  579W,  50,  998, TS,  34, NEQ,  100,  200,  150,   50, 1012,  175,  25,   0,   0, 
AL, 01, 2002071618,   , BEST,   0, 425N,  545W,  50,  997, TS,  34, NEQ,  100,  200,  150,   50, 1012,  175,  25,   0,   0, 
AL, 01, 2002071700,   , BEST,   0, 445N,  530W,  50,  998, EX,   0,    ,    0,    0,    0,    0, 
AL, 01, 2002071706,   , BEST,   0, 465N,  539W,  45,  999, EX,   0,    ,    0,    0,    0,    0, 
AL, 01, 2002071712,   , BEST,   0, 480N,  540W,  40, 1002, EX,   0,    ,    0,    0,    0,    0, 
AL, 01, 2002071718,   , BEST,   0, 490N,  530W,  40, 1001, EX,   0,    ,    0,    0,    0,    0, 
AL, 01, 2002071800,   , BEST,   0, 505N,  525W,  40,  999, EX,   0,    ,    0,    0,    0,    0, 
AL, 01, 2002071806,   , BEST,   0, 530N,  525W,  40,  997, EX,   0,    ,    0,    0,    0,    0, 
AL, 01, 2002071812,   , BEST,   0, 555N,  530W,  35,  995, EX,   0,    ,    0,    0,    0,    0, 
AL, 01, 2002071818,   , BEST,   0, 580N,  530W,  35,  992, EX,   0,    ,    0,    0,    0,    0, 
AL, 01, 2002071900,   , BEST,   0, 570N,  520W,  35,  996, EX,   0,    ,    0,    0,    0,    0, 
AL, 01, 2002071906,   , BEST,   0, 565N,  515W,  35, 1000, EX,   0,    ,    0,    0,    0,    0, 
AL, 01, 2002071912,   , BEST,   0, 560N,  510W,  35, 1005, EX,   0,    ,    0,    0,    0,    0, 
