SH, 95, 2017040700,   , BEST,   0, 122S, 1720E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  140,  50,   0,   0,   P,   0,   X, 115,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952017, JTWC, NCEP_TCVITALS, 
SH, 95, 2017040706,   , BEST,   0, 136S, 1699E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1007,  140,  50,   0,   0,   P,   0,   X, 190,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952017, JTWC, NCEP_TCVITALS, 
SH, 95, 2017040712,   , BEST,   0, 141S, 1696E,  25, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1007,  140,  50,   0,   0,   P,   0,   X, 200,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952017, JTWC, NCEP_TCVITALS, 
SH, 95, 2017040718,   , BEST,   0, 148S, 1686E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  190,  50,   0,   0,   P,   0,   X, 220,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952017, JTWC, NCEP_TCVITALS, 
