AL, 02, 2022070300,   , BEST,   0, 112N,  889W,  50,  997, TS,  34, NEQ,   60,   30,   30,   50, 1008,   90,  20,  60,   0,   E,   0,    ,   0,   0,     BONNIE, M,  0,    ,    0,    0,    0,    0, genesis-num, 009, 
AL, 02, 2022070300,   , BEST,   0, 112N,  889W,  50,  997, TS,  50, NEQ,   20,    0,    0,   20, 1008,   90,  20,  60,   0,   E,   0,    ,   0,   0,     BONNIE, M,  0,    ,    0,    0,    0,    0, genesis-num, 009, 
AL, 02, 2022070306,   , BEST,   0, 115N,  904W,  50,  997, TS,  34, NEQ,   60,   30,   30,   60, 1008,   90,  20,  60,   0,   E,   0,    ,   0,   0,     BONNIE, M,  0,    ,    0,    0,    0,    0, genesis-num, 009, 
AL, 02, 2022070306,   , BEST,   0, 115N,  904W,  50,  997, TS,  50, NEQ,   20,    0,    0,   20, 1008,   90,  20,  60,   0,   E,   0,    ,   0,   0,     BONNIE, M,  0,    ,    0,    0,    0,    0, genesis-num, 009, 
AL, 02, 2022070312,   , BEST,   0, 118N,  919W,  55,  995, TS,  34, NEQ,   60,   30,   30,   60, 1008,   90,  20,  65,   0,   E,   0,    ,   0,   0,     BONNIE, M, 12, NEQ,   45,    0,    0,   30, genesis-num, 009, 
AL, 02, 2022070312,   , BEST,   0, 118N,  919W,  55,  995, TS,  50, NEQ,   20,    0,    0,   20, 1008,   90,  20,  65,   0,   E,   0,    ,   0,   0,     BONNIE, M, 12, NEQ,   45,    0,    0,   30, genesis-num, 009, 
AL, 02, 2022070318,   , BEST,   0, 122N,  934W,  60,  993, TS,  34, NEQ,   70,   50,   30,   60, 1008,   90,  15,  75,   0,   E,   0,    ,   0,   0,     BONNIE, D, 12, NEQ,   90,   45,    0,   30, genesis-num, 009, 
AL, 02, 2022070318,   , BEST,   0, 122N,  934W,  60,  993, TS,  50, NEQ,   30,   20,    0,   30, 1008,   90,  15,  75,   0,   E,   0,    ,   0,   0,     BONNIE, D, 12, NEQ,   90,   45,    0,   30, genesis-num, 009, 
AL, 02, 2022070400,   , BEST,   0, 129N,  949W,  65,  989, HU,  34, NEQ,   70,   60,   30,   60, 1008,   90,  15,  85,   0,   E,   0,    ,   0,   0,     BONNIE, D, 12, NEQ,   90,   45,   30,   45, genesis-num, 009, 
AL, 02, 2022070400,   , BEST,   0, 129N,  949W,  65,  989, HU,  50, NEQ,   40,   30,    0,   30, 1008,   90,  15,  85,   0,   E,   0,    ,   0,   0,     BONNIE, D, 12, NEQ,   90,   45,   30,   45, genesis-num, 009, 
AL, 02, 2022070400,   , BEST,   0, 129N,  949W,  65,  989, HU,  64, NEQ,   20,   15,    0,    0, 1008,   90,  15,  85,   0,   E,   0,    ,   0,   0,     BONNIE, D, 12, NEQ,   90,   45,   30,   45, genesis-num, 009, 
AL, 02, 2022070406,   , BEST,   0, 134N,  966W,  70,  987, HU,  34, NEQ,   70,   60,   30,   60, 1009,   90,  15,  85,   0,   E,   0,    ,   0,   0,     BONNIE, D, 12, NEQ,  120,   60,   30,   45, genesis-num, 009, 
AL, 02, 2022070406,   , BEST,   0, 134N,  966W,  70,  987, HU,  50, NEQ,   40,   30,    0,   30, 1009,   90,  15,  85,   0,   E,   0,    ,   0,   0,     BONNIE, D, 12, NEQ,  120,   60,   30,   45, genesis-num, 009, 
AL, 02, 2022070406,   , BEST,   0, 134N,  966W,  70,  987, HU,  64, NEQ,   20,   15,    0,    0, 1009,   90,  15,  85,   0,   E,   0,    ,   0,   0,     BONNIE, D, 12, NEQ,  120,   60,   30,   45, genesis-num, 009, 
AL, 02, 2022070412,   , BEST,   0, 136N,  982W,  75,  984, HU,  34, NEQ,   80,   70,   40,   70, 1009,   90,  15,  90,   0,   E,   0,    ,   0,   0,     BONNIE, D, 12, NEQ,  120,   90,   30,   45, genesis-num, 009, 
AL, 02, 2022070412,   , BEST,   0, 136N,  982W,  75,  984, HU,  50, NEQ,   40,   30,   20,   30, 1009,   90,  15,  90,   0,   E,   0,    ,   0,   0,     BONNIE, D, 12, NEQ,  120,   90,   30,   45, genesis-num, 009, 
AL, 02, 2022070412,   , BEST,   0, 136N,  982W,  75,  984, HU,  64, NEQ,   20,   15,   10,   15, 1009,   90,  15,  90,   0,   E,   0,    ,   0,   0,     BONNIE, D, 12, NEQ,  120,   90,   30,   45, genesis-num, 009, 
