SH, 09, 2014011412,   , BEST,   0, 155S,  432E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
SH, 09, 2014011418,   , BEST,   0, 160S,  439E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
SH, 09, 2014011500,   , BEST,   0, 165S,  441E,  20, 1007, DB,   0,    ,    0,    0,    0,    0,    0,    0,  45,   0,   0, 
SH, 09, 2014011506,   , BEST,   0, 164S,  447E,  25, 1004, TD,   0,    ,    0,    0,    0,    0,    0,    0,  45,   0,   0, 
SH, 09, 2014011512,   , BEST,   0, 172S,  448E,  30, 1000, TD,   0,    ,    0,    0,    0,    0,    0,    0,  45,   0,   0, 
SH, 09, 2014011518,   , BEST,   0, 181S,  444E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  45,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 09, 2014011600,   , BEST,   0, 186S,  440E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1008,  160,  45,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 09, 2014011606,   , BEST,   0, 193S,  438E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1010,  160,  45,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 09, 2014011612,   , BEST,   0, 203S,  435E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1009,  190,  45,   0,   0,   S,   0,    ,   0,   0,       NINE, M, 
SH, 09, 2014011618,   , BEST,   0, 213S,  433E,  40,  993, TS,  34, NEQ,   25,   25,   25,   25, 1009,  190,  45,   0,   0,   S,   0,    ,   0,   0,       NINE, M, 
SH, 09, 2014011700,   , BEST,   0, 223S,  427E,  50,  985, TS,  34, NEQ,   25,   30,   30,   25, 1009,  200,  30,   0,   0,   S,   0,    ,   0,   0,     DELIWE, M, 
SH, 09, 2014011706,   , BEST,   0, 234S,  422E,  50,  985, TS,  34, NEQ,   45,   45,   40,   40, 1010,  200,  35,   0,   0,   S,   0,    ,   0,   0,     DELIWE, M, 
SH, 09, 2014011712,   , BEST,   0, 245S,  416E,  45,  989, TS,  34, NEQ,   45,   45,   40,   40, 1009,  190,  30,   0,   0,   S,   0,    ,   0,   0,     DELIWE, M, 
SH, 09, 2014011718,   , BEST,   0, 252S,  408E,  40,  993, TS,  34, NEQ,   45,   45,   40,   40, 1009,  210,  40,   0,   0,   S,   0,    ,   0,   0,     DELIWE, M, 
SH, 09, 2014011800,   , BEST,   0, 255S,  402E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1009,  210,  40,   0,   0,   S,   0,    ,   0,   0,     DELIWE, S, 
SH, 09, 2014011806,   , BEST,   0, 258S,  399E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1009,  210,  40,   0,   0, 
SH, 09, 2014011809,   , BEST,   0, 258S,  397E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1009,  210,  40,   0,   0, 
SH, 09, 2014011812,   , BEST,   0, 257S,  400E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1009,  210,  40,   0,   0, 
SH, 09, 2014011815,   , BEST,   0, 260S,  398E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1009,  210,  40,   0,   0, 
SH, 09, 2014011818,   , BEST,   0, 257S,  394E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1009,  210,  40,   0,   0, 
SH, 09, 2014011900,   , BEST,   0, 251S,  387E,  25, 1004, EX,   0,    ,    0,    0,    0,    0, 1009,  210,  40,   0,   0, 
SH, 09, 2014011906,   , BEST,   0, 247S,  383E,  25, 1004, EX,   0,    ,    0,    0,    0,    0, 1009,  210,  40,   0,   0, 
SH, 09, 2014011912,   , BEST,   0, 241S,  380E,  25, 1004, EX,   0,    ,    0,    0,    0,    0, 1009,  210,  40,   0,   0,   S,   0,    ,   0,   0,     DELIWE, S, 
SH, 09, 2014011918,   , BEST,   0, 234S,  380E,  25, 1004, EX,   0,    ,    0,    0,    0,    0, 1009,  210,  40,   0,   0, 
SH, 09, 2014012000,   , BEST,   0, 231S,  378E,  20, 1007, EX,   0,    ,    0,    0,    0,    0, 1009,  210,  40,   0,   0, 
SH, 09, 2014012006,   , BEST,   0, 231S,  375E,  20, 1007, EX,   0,    ,    0,    0,    0,    0, 1009,  210,  40,   0,   0, 
SH, 09, 2014012009,   , BEST,   0, 231S,  373E,  20, 1007, EX,   0,    ,    0,    0,    0,    0, 1009,  210,  40,   0,   0, 
SH, 09, 2014012012,   , BEST,   0, 229S,  375E,  20, 1007, EX,   0,    ,    0,    0,    0,    0, 1009,  210,  40,   0,   0, 
SH, 09, 2014012015,   , BEST,   0, 232S,  376E,  20, 1007, EX,   0,    ,    0,    0,    0,    0, 1009,  210,  40,   0,   0, 
SH, 09, 2014012018,   , BEST,   0, 233S,  373E,  20, 1007, EX,   0,    ,    0,    0,    0,    0, 1009,  210,  40,   0,   0, 
SH, 09, 2014012100,   , BEST,   0, 237S,  375E,  20, 1007, EX,   0,    ,    0,    0,    0,    0, 1009,  210,  40,   0,   0, 
