SH, 95, 2014011518,   , BEST,   0, 181S, 0444E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1008,  150,  45,   0,   0,   S,   0,   X, 160,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952014, JTWC, NCEP_TCVITALS, 
SH, 95, 2014011600,   , BEST,   0, 187S, 0440E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1008,  160,  45,   0,   0,   S,   0,   X, 195,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952014, JTWC, NCEP_TCVITALS, 
SH, 95, 2014011606,   , BEST,   0, 193S, 0439E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1010,  160,  45,   0,   0,   S,   0,   X, 200,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952014, JTWC, NCEP_TCVITALS, 
SH, 95, 2014020206,   , BEST,   0, 136S, 1269E,  30,  997, XX,  34, NEQ,    0,    0,    0,    0, 1002,  180,  45,   0,   0,   S,   0,   X,  95,   3,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952014, JTWC, NCEP_TCVITALS, 
SH, 95, 2014020212,   , BEST,   0, 141S, 1280E,  30,  998, XX,  34, NEQ,    0,    0,    0,    0, 1002,  180,  45,   0,   0,   S,   0,   X, 110,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952014, JTWC, NCEP_TCVITALS, 
SH, 95, 2014020218,   , BEST,   0, 146S, 1289E,  30,  997, XX,  34, NEQ,    0,    0,    0,    0, 1002,  180,  45,   0,   0,   S,   0,   X, 115,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952014, JTWC, NCEP_TCVITALS, 
SH, 95, 2014020300,   , BEST,   0, 149S, 1295E,  30,  997, XX,  34, NEQ,    0,    0,    0,    0, 1002,  180,  45,   0,   0,   S,   0,   X, 120,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952014, JTWC, NCEP_TCVITALS, 
SH, 95, 2014020306,   , BEST,   0, 154S, 1302E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1002,  180,  45,   0,   0,   S,   0,   X, 120,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952014, JTWC, NCEP_TCVITALS, 
SH, 95, 2014020318,   , BEST,   0, 155S, 1306E,  25, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1002,  180,  45,   0,   0,   S,   0,   X, 120,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952014, JTWC, NCEP_TCVITALS, 
SH, 95, 2014020400,   , BEST,   0, 159S, 1317E,  25, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1002,  170,  45,   0,   0,   S,   0,   X, 115,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952014, JTWC, NCEP_TCVITALS, 
SH, 95, 2014020400,   , BEST,   0, 158S, 1315E,  25, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1002,  170,  45,   0,   0,   S,   0,   X, 115,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH952014, JTWC, NCEP_TCVITALS, 
