SH, 01, 2010102500,   , BEST,   0,  92S,  870E,  15, 1010, DB,   0,    ,    0,    0,    0,    0, 
SH, 01, 2010102506,   , BEST,   0,  94S,  870E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
SH, 01, 2010102512,   , BEST,   0,  95S,  867E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 
SH, 01, 2010102518,   , BEST,   0,  97S,  864E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  45,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 01, 2010102600,   , BEST,   0,  99S,  861E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1008,  150,  45,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 01, 2010102606,   , BEST,   0, 104S,  863E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1008,  170,  45,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 01, 2010102612,   , BEST,   0, 109S,  864E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1007,  175,  35,   0,   0,   S,   0,    ,   0,   0,        ONE, M, 
SH, 01, 2010102618,   , BEST,   0, 113S,  861E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1008,  175,  35,   0,   0,   S,   0,    ,   0,   0,        ONE, M, 
SH, 01, 2010102700,   , BEST,   0, 118S,  857E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1008,  175,  35,   0,   0,   S,   0,    ,   0,   0,        ONE, M, 
SH, 01, 2010102706,   , BEST,   0, 123S,  852E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1008,  175,  35,   0,   0,   S,   0,    ,   0,   0,        ONE, M, 
SH, 01, 2010102712,   , BEST,   0, 127S,  846E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1007,  170,  40,   0,   0,   S,   0,    ,   0,   0,        ONE, M, 
SH, 01, 2010102718,   , BEST,   0, 129S,  838E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1007,  170,  40,   0,   0,   S,   0,    ,   0,   0,        ONE, M, 
SH, 01, 2010102800,   , BEST,   0, 132S,  829E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1007,  170,  40,   0,   0,   S,   0,    ,   0,   0,        ONE, S, 
SH, 01, 2010102806,   , BEST,   0, 135S,  819E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1007,  170,  40,   0,   0,   S,   0,    ,   0,   0,        ONE, S, 
SH, 01, 2010102812,   , BEST,   0, 139S,  809E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 
SH, 01, 2010102818,   , BEST,   0, 145S,  798E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 
SH, 01, 2010102900,   , BEST,   0, 148S,  786E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 
SH, 01, 2010102906,   , BEST,   0, 149S,  775E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 
SH, 01, 2010102912,   , BEST,   0, 149S,  764E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 
SH, 01, 2010102918,   , BEST,   0, 148S,  754E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
SH, 01, 2010103000,   , BEST,   0, 148S,  744E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
SH, 01, 2010103006,   , BEST,   0, 148S,  734E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
SH, 01, 2010103012,   , BEST,   0, 148S,  724E,  15, 1010, DB,   0,    ,    0,    0,    0,    0, 
SH, 01, 2010103018,   , BEST,   0, 147S,  715E,  15, 1010, DB,   0,    ,    0,    0,    0,    0, 
SH, 01, 2010103100,   , BEST,   0, 144S,  707E,  15, 1010, DB,   0,    ,    0,    0,    0,    0, 
SH, 01, 2010103106,   , BEST,   0, 141S,  699E,  15, 1010, DB,   0,    ,    0,    0,    0,    0, 
