SH, 12, 2013012106,   , BEST,   0, 185S, 1220E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1009,  180,  20,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 12, 2013012112,   , BEST,   0, 189S, 1214E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 1008,  180,  30,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 12, 2013012118,   , BEST,   0, 191S, 1208E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  180,  30,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 12, 2013012200,   , BEST,   0, 194S, 1202E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 1008,  180,  30,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 12, 2013012206,   , BEST,   0, 195S, 1195E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1006,  170,  30,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 12, 2013012212,   , BEST,   0, 198S, 1187E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1004,  150,  30,   0,   0,   S,   0,    ,   0,   0,     INVEST, S, 
SH, 12, 2013012218,   , BEST,   0, 199S, 1177E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1004,  150,  30,   0,   0,   S,   0,    ,   0,   0,     TWELVE, S, 
SH, 12, 2013012300,   , BEST,   0, 204S, 1176E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1004,  150,  30,   0,   0,   S,   0,    ,   0,   0,     TWELVE, S, 
SH, 12, 2013012306,   , BEST,   0, 211S, 1176E,  35,  996, TS,   0,    ,    0,    0,    0,    0, 1003,  140,  30,   0,   0,   S,   0,    ,   0,   0,       PETA, M, 
SH, 12, 2013012312,   , BEST,   0, 217S, 1173E,  30, 1000, TD,   0,    ,    0,    0,    0,    0, 1002,  130,  30,   0,   0,   S,   0,    ,   0,   0,       PETA, M, 
SH, 12, 2013012318,   , BEST,   0, 220S, 1176E,  25, 1004, TD,   0,    ,    0,    0,    0,    0, 
SH, 12, 2013012400,   , BEST,   0, 225S, 1175E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
SH, 12, 2013012406,   , BEST,   0, 225S, 1172E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
SH, 12, 2013012412,   , BEST,   0, 219S, 1171E,  20,  998, DB,   0,    ,    0,    0,    0,    0, 1003,  140,  15,   0,   0,   S,   0,    ,   0,   0,       PETA, S, 
SH, 12, 2013012418,   , BEST,   0, 210S, 1159E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
SH, 12, 2013012500,   , BEST,   0, 201S, 1150E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
SH, 12, 2013012506,   , BEST,   0, 199S, 1144E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
SH, 12, 2013012512,   , BEST,   0, 196S, 1137E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
SH, 12, 2013012518,   , BEST,   0, 193S, 1132E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
SH, 12, 2013012600,   , BEST,   0, 192S, 1125E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
SH, 12, 2013012606,   , BEST,   0, 193S, 1115E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
SH, 12, 2013012612,   , BEST,   0, 192S, 1106E,  20, 1007, DB,   0,    ,    0,    0,    0,    0, 
