WP, 98, 2019071418,   , BEST,   0, 173N, 1348E,  20, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1007,  210, 100,   0,   0,   W,   0,   X, 345,  16,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP982019, JTWC, NCEP_TCVITALS, 
WP, 98, 2019071500,   , BEST,   0, 160N, 1329E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1007,  210, 100,   0,   0,   W,   0,   X, 305,  11,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP982019, JTWC, NCEP_TCVITALS, 
WP, 98, 2019071506,   , BEST,   0, 168N, 1320E,  20, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1007,  210, 100,   0,   0,   W,   0,   X, 300,  11,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP982019, JTWC, NCEP_TCVITALS, 
WP, 98, 2019071512,   , BEST,   0, 173N, 1307E,  20, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1007,  240, 100,   0,   0,   W,   0,   X, 295,  12,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP982019, JTWC, NCEP_TCVITALS, 
WP, 98, 2019071518,   , BEST,   0, 175N, 1300E,  20,  997, XX,  34, NEQ,    0,    0,    0,    0, 1004,  360, 125,   0,   0,   W,   0,   X, 300,  11,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP982019, JTWC, NCEP_TCVITALS, 
WP, 98, 2019071600,   , BEST,   0, 173N, 1287E,  20,  996, XX,  34, NEQ,    0,    0,    0,    0, 1005,  385, 150,   0,   0,   W,   0,   X, 280,  11,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP982019, JTWC, NCEP_TCVITALS, 
WP, 98, 2019081712,   , BEST,   0, 224N, 1544E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  150,  35,   0,   0,   W,   0,   X, 250,   5,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP982019, JTWC, NCEP_TCVITALS, 
WP, 98, 2019081800,   , BEST,   0, 231N, 1522E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  175,  35,   0,   0,   W,   0,   X, 290,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP982019, JTWC, NCEP_TCVITALS, 
WP, 98, 2019081806,   , BEST,   0, 230N, 1515E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1009,  175,  35,   0,   0,   W,   0,   X, 280,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP982019, JTWC, NCEP_TCVITALS, 
WP, 98, 2019081812,   , BEST,   0, 232N, 1509E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1009,  175,  35,   0,   0,   W,   0,   X, 285,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP982019, JTWC, NCEP_TCVITALS, 
WP, 98, 2019081818,   , BEST,   0, 241N, 1504E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  175,  35,   0,   0,   W,   0,   X, 300,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP982019, JTWC, NCEP_TCVITALS, 
