SH, 92, 2018021918,   , BEST,   0, 209S, 1543W,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  120,  50,   0,   0,   P,   0,   X, 145,  13,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922018, JTWC, NCEP_TCVITALS, 
SH, 92, 2018031318,   , BEST,   0, 105S, 1344E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1007,  280,  50,   0,   0,   S,   0,   X, 105,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922018, JTWC, NCEP_TCVITALS, 
SH, 92, 2018031400,   , BEST,   0, 109S, 1340E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  240,  50,   0,   0,   S,   0,   X, 135,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922018, JTWC, NCEP_TCVITALS, 
SH, 92, 2018031406,   , BEST,   0, 097S, 1313E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  190,  50,   0,   0,   S,   0,   X, 120,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922018, JTWC, NCEP_TCVITALS, 
SH, 92, 2018031412,   , BEST,   0, 099S, 1317E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  200,  50,   0,   0,   S,   0,   X, 120,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922018, JTWC, NCEP_TCVITALS, 
SH, 92, 2018031418,   , BEST,   0, 093S, 1297E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1006,  200,  50,   0,   0,   S,   0,   X, 125,   3,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922018, JTWC, NCEP_TCVITALS, 
SH, 92, 2018031500,   , BEST,   0, 096S, 1297E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  200,  50,   0,   0,   S,   0,   X, 145,   3,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922018, JTWC, NCEP_TCVITALS, 
SH, 92, 2018031506,   , BEST,   0, 092S, 1307E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1009,  200,  45,   0,   0,   S,   0,   X, 100,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922018, JTWC, NCEP_TCVITALS, 
SH, 92, 2018031512,   , BEST,   0, 098S, 1320E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1009,  200,  45,   0,   0,   S,   0,   X, 110,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH922018, JTWC, NCEP_TCVITALS, 
