WP, 16, 2019090300,   , BEST,   0, 159N, 1073E,  30,  996, XX,  34, NEQ,    0,    0,    0,    0, 1000,  150,  25,   0,   0,   W,   0,   X, 220,  11,     KAJIKI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162019, JTWC, NCEP_TCVITALS, 
WP, 16, 2019090306,   , BEST,   0, 160N, 1083E,  30,  998, XX,  34, NEQ,    0,    0,    0,    0, 1004,  380,  50,   0,   0,   W,   0,   X, 185,   4,     KAJIKI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162019, JTWC, NCEP_TCVITALS, 
WP, 16, 2019090312,   , BEST,   0, 163N, 1074E,  25,  999, XX,  34, NEQ,    0,    0,    0,    0, 1003,  280,  50,   0,   0,   W,   0,   X, 230,   2,     KAJIKI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162019, JTWC, NCEP_TCVITALS, 
WP, 16, 2019090318,   , BEST,   0, 170N, 1074E,  25,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  280,  50,   0,   0,   W,   0,   X,   5,   4,     KAJIKI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162019, JTWC, NCEP_TCVITALS, 
WP, 16, 2019090400,   , BEST,   0, 170N, 1076E,  25,  999, XX,  34, NEQ,    0,    0,    0,    0, 1002,  280,  50,   0,   0,   W,   0,   X, 325,   3,     KAJIKI, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP162019, JTWC, NCEP_TCVITALS, 
