EP, 17, 2021102500,   , BEST,   0, 165N, 1015W,  80,  979, HU,  50, NEQ,   30,   30,   30,   30, 1008,  100,  15, 100,   0,   E,   0,    ,   0,   0,       RICK, D, 12, NEQ,   90,  120,  120,  120, genesis-num, 029, 
EP, 17, 2021102500,   , BEST,   0, 165N, 1015W,  80,  979, HU,  64, NEQ,   20,   20,   15,   15, 1008,  100,  15, 100,   0,   E,   0,    ,   0,   0,       RICK, D, 12, NEQ,   90,  120,  120,  120, genesis-num, 029, 
EP, 17, 2021102506,   , BEST,   0, 172N, 1018W,  90,  977, HU,  34, NEQ,   70,   70,   50,   50, 1008,  100,  15, 110,   0,   E,   0,    ,   0,   0,       RICK, D, 12, NEQ,   60,  120,  120,   90, genesis-num, 029, 
EP, 17, 2021102506,   , BEST,   0, 172N, 1018W,  90,  977, HU,  50, NEQ,   30,   30,   20,   30, 1008,  100,  15, 110,   0,   E,   0,    ,   0,   0,       RICK, D, 12, NEQ,   60,  120,  120,   90, genesis-num, 029, 
EP, 17, 2021102506,   , BEST,   0, 172N, 1018W,  90,  977, HU,  64, NEQ,   20,   20,   15,   15, 1008,  100,  15, 110,   0,   E,   0,    ,   0,   0,       RICK, D, 12, NEQ,   60,  120,  120,   90, genesis-num, 029, 
EP, 17, 2021102511,   , BEST,   0, 179N, 1020W,  90,  977, HU,  34, NEQ,   70,   70,   50,   50, 1008,  100,  15,   0,   0,   E,   0,    ,   0,   0,       RICK,  ,  0,    ,    0,    0,    0,    0, genesis-num, 029, 
EP, 17, 2021102511,   , BEST,   0, 179N, 1020W,  90,  977, HU,  50, NEQ,   30,   30,   20,   30, 1008,  100,  15,   0,   0,   E,   0,    ,   0,   0,       RICK,  ,  0,    ,    0,    0,    0,    0, genesis-num, 029, 
EP, 17, 2021102511,   , BEST,   0, 179N, 1020W,  90,  977, HU,  64, NEQ,   20,   20,   15,   15, 1008,  100,  15,   0,   0,   E,   0,    ,   0,   0,       RICK,  ,  0,    ,    0,    0,    0,    0, genesis-num, 029, 
EP, 17, 2021102512,   , BEST,   0, 181N, 1021W,  85,  980, HU,  34, NEQ,   70,   70,   50,   50, 1008,   90,  15, 105,   0,   E,   0,    ,   0,   0,       RICK, D, 12, NEQ,   30,   90,   90,   60, genesis-num, 029, 
EP, 17, 2021102512,   , BEST,   0, 181N, 1021W,  85,  980, HU,  50, NEQ,   30,   30,   20,   30, 1008,   90,  15, 105,   0,   E,   0,    ,   0,   0,       RICK, D, 12, NEQ,   30,   90,   90,   60, genesis-num, 029, 
EP, 17, 2021102512,   , BEST,   0, 181N, 1021W,  85,  980, HU,  64, NEQ,   20,   20,   15,   15, 1008,   90,  15, 105,   0,   E,   0,    ,   0,   0,       RICK, D, 12, NEQ,   30,   90,   90,   60, genesis-num, 029, 
EP, 17, 2021102518,   , BEST,   0, 190N, 1025W,  50,  997, TS,  34, NEQ,   40,   40,    0,    0, 1008,  120,  20,  60,   0,   E,   0,    ,   0,   0,       RICK, D, 12, NEQ,    0,   90,   75,    0, genesis-num, 029, 
EP, 17, 2021102518,   , BEST,   0, 190N, 1025W,  50,  997, TS,  50, NEQ,   20,    0,    0,    0, 1008,  120,  20,  60,   0,   E,   0,    ,   0,   0,       RICK, D, 12, NEQ,    0,   90,   75,    0, genesis-num, 029, 
