AL, 16, 2018102912,   , BEST,   0, 257N,  581W,  75,  981, HU,  64, NEQ,   15,   10,   10,   15, 1011,  220,  10,  90,   0,   L,   0,    ,   0,   0,      OSCAR, D, 12, NEQ,  600,   90,  120,  300, genesis-num, 041, 
AL, 16, 2018102918,   , BEST,   0, 262N,  585W,  85,  974, HU,  34, NEQ,   60,   40,   40,   50, 1012,  250,  10, 100,   0,   L,   0,    ,   0,   0,      OSCAR, D, 12, NEQ,  600,   90,  120,  300, genesis-num, 041, 
AL, 16, 2018102918,   , BEST,   0, 262N,  585W,  85,  974, HU,  50, NEQ,   30,   20,   20,   30, 1012,  250,  10, 100,   0,   L,   0,    ,   0,   0,      OSCAR, D, 12, NEQ,  600,   90,  120,  300, genesis-num, 041, 
AL, 16, 2018102918,   , BEST,   0, 262N,  585W,  85,  974, HU,  64, NEQ,   15,   10,   10,   15, 1012,  250,  10, 100,   0,   L,   0,    ,   0,   0,      OSCAR, D, 12, NEQ,  600,   90,  120,  300, genesis-num, 041, 
AL, 16, 2018103000,   , BEST,   0, 270N,  585W,  95,  966, HU,  34, NEQ,   60,   40,   40,   50, 1012,  250,  10, 110,   0,   L,   0,    ,   0,   0,      OSCAR, D, 12, NEQ,  600,   90,  120,  300, genesis-num, 041, 
AL, 16, 2018103000,   , BEST,   0, 270N,  585W,  95,  966, HU,  50, NEQ,   30,   20,   20,   30, 1012,  250,  10, 110,   0,   L,   0,    ,   0,   0,      OSCAR, D, 12, NEQ,  600,   90,  120,  300, genesis-num, 041, 
AL, 16, 2018103000,   , BEST,   0, 270N,  585W,  95,  966, HU,  64, NEQ,   15,   10,   10,   15, 1012,  250,  10, 110,   0,   L,   0,    ,   0,   0,      OSCAR, D, 12, NEQ,  600,   90,  120,  300, genesis-num, 041, 
AL, 16, 2018103006,   , BEST,   0, 280N,  584W,  90,  970, HU,  34, NEQ,   70,   50,   50,   60, 1012,  250,  10, 110,   0,   L,   0,    ,   0,   0,      OSCAR, D, 12, NEQ,  450,  150,  210,  300, genesis-num, 041, 
AL, 16, 2018103006,   , BEST,   0, 280N,  584W,  90,  970, HU,  50, NEQ,   30,   20,   20,   30, 1012,  250,  10, 110,   0,   L,   0,    ,   0,   0,      OSCAR, D, 12, NEQ,  450,  150,  210,  300, genesis-num, 041, 
AL, 16, 2018103006,   , BEST,   0, 280N,  584W,  90,  970, HU,  64, NEQ,   15,   10,   10,   15, 1012,  250,  10, 110,   0,   L,   0,    ,   0,   0,      OSCAR, D, 12, NEQ,  450,  150,  210,  300, genesis-num, 041, 
