SH, 22, 2019032700,   , BEST,   0, 202S, 0661E, 115,  944, XX,  34, NEQ,  125,  150,  130,  110, 1009,  180,   6,   0,   0,   S,   0,   X, 120,   7,   JOANINHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032706,   , BEST,   0, 202S, 0664E, 110,  949, XX,  34, NEQ,  140,  160,  125,  110, 1008,  190,  12,   0,   0,   S,   0,   X, 120,   5,   JOANINHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032712,   , BEST,   0, 203S, 0669E, 110,  947, XX,  34, NEQ,  145,  165,  125,  115, 1007,  195,  12,   0,   0,   S,   0,   X, 110,   5,   JOANINHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032718,   , BEST,   0, 205S, 0670E, 115,  941, XX,  34, NEQ,  175,  175,  155,  125, 1007,  190,  15,   0,   0,   S,   0,   X, 110,   4,   JOANINHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032800,   , BEST,   0, 207S, 0672E, 115,  942, XX,  34, NEQ,  175,  180,  155,  130, 1009,  200,  20,   0,   0,   S,   0,   X, 125,   3,   JOANINHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032806,   , BEST,   0, 211S, 0674E, 115,  941, XX,  34, NEQ,  160,  165,  150,  130, 1008,  210,  15,   0,   0,   S,   0,   X, 145,   3,   JOANINHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032812,   , BEST,   0, 215S, 0676E, 115,  937, XX,  34, NEQ,  160,  170,  155,  135, 1008,  210,  17,   0,   0,   S,   0,   X, 150,   4,   JOANINHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032818,   , BEST,   0, 220S, 0678E, 100,  951, XX,  34, NEQ,  165,  180,  165,  135, 1005,  210,  20,   0,   0,   S,   0,   X, 155,   5,   JOANINHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032900,   , BEST,   0, 224S, 0677E,  85,  963, XX,  34, NEQ,  180,  210,  180,  130, 1006,  205,  25,   0,   0,   S,   0,   X, 170,   4,   JOANINHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032900,   , BEST,   0, 223S, 0678E,  90,  959, XX,  34, NEQ,  180,  210,  180,  130, 1006,  205,  25,   0,   0,   S,   0,   X, 165,   4,   JOANINHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032906,   , BEST,   0, 230S, 0680E,  70,  970, XX,  34, NEQ,  170,  200,  175,  140, 1006,  200,  25,   0,   0,   S,   0,   X, 165,   5,   JOANINHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032912,   , BEST,   0, 234S, 0685E,  65,  976, XX,  34, NEQ,  165,  210,  180,  125, 1005,  210,  25,   0,   0,   S,   0,   X, 155,   6,   JOANINHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019032918,   , BEST,   0, 239S, 0688E,  65,  976, XX,  34, NEQ,  185,  225,  190,  120, 1006,  215,  25,   0,   0,   S,   0,   X, 150,   6,   JOANINHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019033000,   , BEST,   0, 244S, 0692E,  60,  978, XX,  34, NEQ,  275,  265,  155,  140, 1007,  210,  25,   0,   0,   S,   0,   X, 145,   6,   JOANINHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019033006,   , BEST,   0, 253S, 0696E,  60,  979, XX,  34, NEQ,  150,  220,  190,  120, 1007,  210,  45,   0,   0,   S,   0,   X, 150,   7,   JOANINHA, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019033012,   , BEST,   0, 260S, 0701E,  55,  982, XX,  34, NEQ,  145,  215,  195,  120, 1006,  195,  45,   0,   0,   S,   0,   X, 150,   8,   JOANINHA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019033018,   , BEST,   0, 267S, 0700E,  45,  989, XX,  34, NEQ,  125,  155,  130,  105, 1006,  200,  40,   0,   0,   S,   0,   X, 165,   8,   JOANINHA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
SH, 22, 2019033100,   , BEST,   0, 268S, 0698E,  35,  996, XX,  34, NEQ,  190,  215,  175,  120, 1007,  220,  80,   0,   0,   S,   0,   X, 175,   5,   JOANINHA, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH222019, JTWC, NCEP_TCVITALS, 
