EP, 05, 2021062718,   , BEST,   0, 187N, 1057W,  80,  972, HU,  64, NEQ,   20,   20,    0,   20, 1004,  110,  20, 100,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,  120,  270,  180,  150, genesis-num, 008, 
EP, 05, 2021062800,   , BEST,   0, 194N, 1059W,  80,  972, HU,  34, NEQ,   80,   90,   80,   90, 1004,  110,  20, 100,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,   90,  300,  180,  120, genesis-num, 008, 
EP, 05, 2021062800,   , BEST,   0, 194N, 1059W,  80,  972, HU,  50, NEQ,   40,   50,   40,   40, 1004,  110,  20, 100,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,   90,  300,  180,  120, genesis-num, 008, 
EP, 05, 2021062800,   , BEST,   0, 194N, 1059W,  80,  972, HU,  64, NEQ,   20,   20,    0,   20, 1004,  110,  20, 100,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,   90,  300,  180,  120, genesis-num, 008, 
EP, 05, 2021062806,   , BEST,   0, 198N, 1062W,  75,  975, HU,  34, NEQ,   80,   90,   80,   90, 1004,  100,  20, 100,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,   75,  360,  150,  120, genesis-num, 008, 
EP, 05, 2021062806,   , BEST,   0, 198N, 1062W,  75,  975, HU,  50, NEQ,   40,   50,   40,   40, 1004,  100,  20, 100,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,   75,  360,  150,  120, genesis-num, 008, 
EP, 05, 2021062806,   , BEST,   0, 198N, 1062W,  75,  975, HU,  64, NEQ,   20,   20,    0,   20, 1004,  100,  20, 100,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,   75,  360,  150,  120, genesis-num, 008, 
EP, 05, 2021062812,   , BEST,   0, 202N, 1066W,  70,  978, HU,  34, NEQ,   70,   80,   70,   70, 1004,  100,  15,  90,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,   75,  360,  150,  120, genesis-num, 008, 
EP, 05, 2021062812,   , BEST,   0, 202N, 1066W,  70,  978, HU,  50, NEQ,   30,   40,   40,   40, 1004,  100,  15,  90,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,   75,  360,  150,  120, genesis-num, 008, 
EP, 05, 2021062812,   , BEST,   0, 202N, 1066W,  70,  978, HU,  64, NEQ,   15,   15,    0,   15, 1004,  100,  15,  90,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,   75,  360,  150,  120, genesis-num, 008, 
EP, 05, 2021062818,   , BEST,   0, 205N, 1070W,  60,  983, TS,  34, NEQ,   70,   80,   70,   70, 1004,  100,  15,  75,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,   75,  360,  150,  120, genesis-num, 008, 
EP, 05, 2021062818,   , BEST,   0, 205N, 1070W,  60,  983, TS,  50, NEQ,   30,   40,   30,   30, 1004,  100,  15,  75,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,   75,  360,  150,  120, genesis-num, 008, 
EP, 05, 2021062900,   , BEST,   0, 209N, 1073W,  50,  992, TS,  34, NEQ,   60,   60,   60,   60, 1005,   90,  15,  60,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,   90,  180,  120,   90, genesis-num, 008, 
EP, 05, 2021062900,   , BEST,   0, 209N, 1073W,  50,  992, TS,  50, NEQ,   30,   30,   20,   20, 1005,   90,  15,  60,   0,   E,   0,    ,   0,   0,    ENRIQUE, D, 12, NEQ,   90,  180,  120,   90, genesis-num, 008, 
EP, 05, 2021062906,   , BEST,   0, 215N, 1074W,  45,  995, TS,  34, NEQ,   60,   60,   40,   40, 1009,   90,  15,  55,   0,   E,   0,    ,   0,   0,    ENRIQUE, D,  0,    ,    0,    0,    0,    0, genesis-num, 008, 
EP, 05, 2021062912,   , BEST,   0, 222N, 1075W,  40,  999, TS,  34, NEQ,   40,   40,    0,    0, 1009,   90,  15,  50,   0,   E,   0,    ,   0,   0,    ENRIQUE, M, 12, NEQ,   75,   90,   90,   90, genesis-num, 008, 
EP, 05, 2021062918,   , BEST,   0, 229N, 1080W,  35, 1003, TS,  34, NEQ,   30,   30,    0,    0, 1009,   90,  15,  45,   0,   E,   0,    ,   0,   0,    ENRIQUE, M, 12, NEQ,   60,   75,   75,   60, genesis-num, 008, 
EP, 05, 2021063000,   , BEST,   0, 235N, 1087W,  35, 1003, TS,  34, NEQ,   30,    0,    0,    0, 1009,   90,  15,  45,   0,   E,   0,    ,   0,   0,    ENRIQUE, S,  0,    ,    0,    0,    0,    0, genesis-num, 008, 
EP, 05, 2021063006,   , BEST,   0, 240N, 1093W,  35, 1003, TS,  34, NEQ,   30,    0,    0,    0, 1011,   80,  15,  45,   0,   E,   0,    ,   0,   0,    ENRIQUE, M,  0,    ,    0,    0,    0,    0, genesis-num, 008, 
EP, 05, 2021063012,   , BEST,   0, 243N, 1098W,  30, 1005, TD,   0,    ,    0,    0,    0,    0, 1011,   80,  20,  40,   0,   E,   0,    ,   0,   0,    ENRIQUE, S,  0,    ,    0,    0,    0,    0, genesis-num, 008, 
