IO, 97, 2020112206,   , BEST,   0, 075N, 0857E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  220,  45,   0,   0,   B,   0,   X, 315,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO972020, JTWC, NCEP_TCVITALS, 
IO, 97, 2020112212,   , BEST,   0, 082N, 0854E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  220,  45,   0,   0,   B,   0,   X, 320,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO972020, JTWC, NCEP_TCVITALS, 
IO, 97, 2020112218,   , BEST,   0, 095N, 0846E,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1010,  195,  45,   0,   0,   B,   0,   X, 325,  11,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO972020, JTWC, NCEP_TCVITALS, 
IO, 97, 2020112300,   , BEST,   0, 103N, 0844E,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1009,  200,  45,   0,   0,   B,   0,   X, 335,  10,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO972020, JTWC, NCEP_TCVITALS, 
IO, 97, 2020112306,   , BEST,   0, 097N, 0839E,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1009,  200,  45,   0,   0,   B,   0,   X, 315,   7,     INVEST, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO972020, JTWC, NCEP_TCVITALS, 
