WP, 17, 2016091106,   , BEST,   0, 366N, 1551E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1014,  100,  40,   0,   0,   W,   0,   X,  55,  16,  SEVENTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172016, JTWC, NCEP_TCVITALS, 
WP, 17, 2016091112,   , BEST,   0, 374N, 1575E,  30, 1010, XX,  34, NEQ,    0,    0,    0,    0, 1014,  100,  40,   0,   0,   W,   0,   X,  60,  19,  SEVENTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172016, JTWC, NCEP_TCVITALS, 
WP, 17, 2016091118,   , BEST,   0, 381N, 1604E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1014,  100,  40,   0,   0,   W,   0,   X,  65,  22,  SEVENTEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172016, JTWC, NCEP_TCVITALS, 
