WP, 07, 2018061318,   , BEST,   0, 238N, 1232E,  30,  996, XX,  34, NEQ,    0,    0,    0,    0,  998,   95,  40,   0,   0,   W,   0,   X,  45,  12,      SEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072018, JTWC, NCEP_TCVITALS, 
WP, 07, 2018061406,   , BEST,   0, 266N, 1261E,  35,  994, XX,  34, NEQ,   80,   40,    0,   60,  998,  120,  40,   0,   0,   W,   0,   X,  40,  16,      SEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072018, JTWC, NCEP_TCVITALS, 
WP, 07, 2018061412,   , BEST,   0, 279N, 1297E,  35,  991, XX,  34, NEQ,  125,  125,  125,   65,  998,  120,  40,   0,   0,   W,   0,   X,  55,  24,      SEVEN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP072018, JTWC, NCEP_TCVITALS, 
