WP, 04, 2016072318,   , BEST,   0, 288N, 1566E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  130,  30,   0,   0,   W,   0,   X,  50,  16,       FOUR, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042016, JTWC, NCEP_TCVITALS, 
WP, 04, 2016072400,   , BEST,   0, 307N, 1584E,  35,  996, XX,  34, NEQ,    0,    0,    0,    0, 1006,  160,  30,   0,   0,   W,   0,   X,  40,  20,      LUPIT, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042016, JTWC, NCEP_TCVITALS, 
WP, 04, 2016072406,   , BEST,   0, 331N, 1594E,  40,  993, XX,  34, NEQ,   85,   85,   25,   50, 1008,  155,  50,   0,   0,   W,   0,   X,  30,  22,      LUPIT, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP042016, JTWC, NCEP_TCVITALS, 
