IO, 91, 2016112900,   , BEST,   0, 059N, 0890E,  20, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  150,    ,   0,   0,   B,   0,   X, 330,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO912016, JTWC, NCEP_TCVITALS, 
IO, 91, 2016112906,   , BEST,   0, 060N, 0880E,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1008,  200,  40,   0,   0,   B,   0,   X, 300,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO912016, JTWC, NCEP_TCVITALS, 
IO, 91, 2016112912,   , BEST,   0, 066N, 0871E,  30, 1004, XX,  34, NEQ,    0,    0,    0,    0, 1008,  215,  40,   0,   0,   B,   0,   X, 300,   8,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO912016, JTWC, NCEP_TCVITALS, 
