IO, 90, 2019113018,   , BEST,   0, 055N, 0584E,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 1008,  110,    ,   0,   0,   A,   0,   X,  95,   5,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO902019, JTWC, NCEP_TCVITALS, 
IO, 90, 2019120200,   , BEST,   0, 051N, 0562E,  25, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1005,  150,  40,   0,   0,   A,   0,   X, 255,   5,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO902019, JTWC, NCEP_TCVITALS, 
IO, 90, 2019120206,   , BEST,   0, 053N, 0562E,  25, 1002, XX,  34, NEQ,    0,    0,    0,    0, 1005,  150,  40,   0,   0,   A,   0,   X, 255,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO902019, JTWC, NCEP_TCVITALS, 
IO, 90, 2019120212,   , BEST,   0, 063N, 0570E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1005,  150,  40,   0,   0,   A,   0,   X,   5,   3,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO902019, JTWC, NCEP_TCVITALS, 
IO, 90, 2019120218,   , BEST,   0, 061N, 0570E,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1008,  165,  40,   0,   0,   A,   0,   X,    ,   3,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO902019, JTWC, NCEP_TCVITALS, 
