WP, 19, 2016091200,   , BEST,   0, 134N, 1123E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1005,  175,  45,   0,   0,   W,   0,   X, 290,   9,   NINETEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192016, JTWC, NCEP_TCVITALS, 
WP, 19, 2016091206,   , BEST,   0, 143N, 1109E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1007,  200,  45,   0,   0,   W,   0,   X, 300,  11,   NINETEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192016, JTWC, NCEP_TCVITALS, 
WP, 19, 2016091212,   , BEST,   0, 151N, 1097E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1006,  200,  45,   0,   0,   W,   0,   X, 305,  13,   NINETEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192016, JTWC, NCEP_TCVITALS, 
WP, 19, 2016091218,   , BEST,   0, 153N, 1088E,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  200,  45,   0,   0,   W,   0,   X, 300,  13,   NINETEEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP192016, JTWC, NCEP_TCVITALS, 
