IO, 93, 2020053106,   , BEST,   0, 109N, 0719E,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 1010,  130,  30,   0,   0,   A,   0,   X, 335,   3,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO932020, JTWC, NCEP_TCVITALS, 
IO, 93, 2020053112,   , BEST,   0, 137N, 0711E,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1010,  130,  30,   0,   0,   A,   0,   X, 330,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO932020, JTWC, NCEP_TCVITALS, 
IO, 93, 2020053118,   , BEST,   0, 133N, 0716E,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 1009,  130,  45,   0,   0,   A,   0,   X, 305,   3,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO932020, JTWC, NCEP_TCVITALS, 
IO, 93, 2020060100,   , BEST,   0, 139N, 0714E,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 1009,  150,  45,   0,   0,   A,   0,   X, 325,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO932020, JTWC, NCEP_TCVITALS, 
IO, 93, 2020060106,   , BEST,   0, 137N, 0714E,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 1009,  150,  45,   0,   0,   A,   0,   X, 325,   2,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO932020, JTWC, NCEP_TCVITALS, 
IO, 93, 2020060112,   , BEST,   0, 135N, 0711E,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1006,  150,  45,   0,   0,   A,   0,   X, 310,   4,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO932020, JTWC, NCEP_TCVITALS, 
IO, 93, 2020060118,   , BEST,   0, 145N, 0714E,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 1008,  155,  45,   0,   0,   A,   0,   X, 355,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO932020, JTWC, NCEP_TCVITALS, 
IO, 93, 2020060200,   , BEST,   0, 148N, 0713E,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1005,  150,  45,   0,   0,   A,   0,   X,   5,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO932020, JTWC, NCEP_TCVITALS, 
IO, 93, 2020060206,   , BEST,   0, 159N, 0714E,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 1005,  165,  45,   0,   0,   A,   0,   X,  10,   7,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO932020, JTWC, NCEP_TCVITALS, 
IO, 93, 2020060212,   , BEST,   0, 161N, 0715E,  30,  999, XX,  34, NEQ,    0,    0,    0,    0, 1005,  165,  45,   0,   0,   A,   0,   X,  10,   6,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, IO932020, JTWC, NCEP_TCVITALS, 
