SH, 07, 2017022106,   , BEST,   0, 208S, 1644W,  40,  999, XX,  34, NEQ,  160,   60,   60,  190, 1007,  250,  50,   0,   0,   P,   0,   X, 125,  16,      SEVEN, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072017, JTWC, NCEP_TCVITALS, 
SH, 07, 2017022112,   , BEST,   0, 218S, 1623W,  40,  999, XX,  34, NEQ,  160,   60,   60,  190, 1007,  230,  50,   0,   0,   P,   0,   X, 120,  19,       BART, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072017, JTWC, NCEP_TCVITALS, 
SH, 07, 2017022118,   , BEST,   0, 231S, 1602W,  35, 1001, XX,  34, NEQ,  160,  135,   75,  140, 1007,  180,  50,   0,   0,   P,   0,   X, 120,  22,       BART, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH072017, JTWC, NCEP_TCVITALS, 
