SH, 14, 2019020918,   , BEST,   0, 209S, 1749W,  35,  996, XX,  34, NEQ,  150,  125,   45,  130, 1002,  170,  35,   0,   0,   P,   0,   X, 155,  16,       NEIL, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142019, JTWC, NCEP_TCVITALS, 
SH, 14, 2019021000,   , BEST,   0, 226S, 1745W,  35,  994, XX,  34, NEQ,  145,  135,    0,    0, 1002,  170,  35,   0,   0,   P,   0,   X, 160,  16,       NEIL, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142019, JTWC, NCEP_TCVITALS, 
SH, 14, 2019021006,   , BEST,   0, 240S, 1739W,  30,  997, XX,  34, NEQ,    0,    0,    0,    0, 1001,  140,  70,   0,   0,   P,   0,   X, 165,  16,       NEIL, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH142019, JTWC, NCEP_TCVITALS, 
