SH, 99, 2019010106,   , BEST,   0, 090S, 1716E,  20,  999, XX,  34, NEQ,    0,    0,    0,    0, 1001,  140,  25,   0,   0,   P,   0,   X,  80,   5,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992019, JTWC, NCEP_TCVITALS, 
SH, 99, 2019010112,   , BEST,   0, 099S, 1731E,  20, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1002,  110,  25,   0,   0,   P,   0,   X, 105,   9,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992019, JTWC, NCEP_TCVITALS, 
SH, 99, 2019010118,   , BEST,   0, 119S, 1758E,  20, 1000, XX,  34, NEQ,    0,    0,    0,    0, 1003,  150,  50,   0,   0,   P,   0,   X, 120,  19,     INVEST, S,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, SH992019, JTWC, NCEP_TCVITALS, 
