WP, 17, 2018080718,   , BEST,   0, 325N, 1423E,  85,  954, XX,  34, NEQ,  190,  185,  120,  195, 1000,  200,   5,   0,   0,   W,   0,   X, 320,   9,   SHANSHAN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172018, JTWC, NCEP_TCVITALS, 
WP, 17, 2018080800,   , BEST,   0, 334N, 1418E,  80,  964, XX,  34, NEQ,  190,  175,  140,  180, 1002,  220,  12,   0,   0,   W,   0,   X, 320,   9,   SHANSHAN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172018, JTWC, NCEP_TCVITALS, 
WP, 17, 2018080806,   , BEST,   0, 338N, 1413E,  80,  958, XX,  34, NEQ,  175,  160,  130,  170, 1002,  220,  12,   0,   0,   W,   0,   X, 320,   8,   SHANSHAN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172018, JTWC, NCEP_TCVITALS, 
WP, 17, 2018080812,   , BEST,   0, 345N, 1413E,  70,  967, XX,  34, NEQ,  125,  120,  110,   95, 1002,  210,  12,   0,   0,   W,   0,   X, 340,   7,   SHANSHAN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172018, JTWC, NCEP_TCVITALS, 
WP, 17, 2018080818,   , BEST,   0, 353N, 1411E,  70,  967, XX,  34, NEQ,  115,  115,   95,   90, 1002,  160,  12,   0,   0,   W,   0,   X, 340,   7,   SHANSHAN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172018, JTWC, NCEP_TCVITALS, 
WP, 17, 2018080900,   , BEST,   0, 363N, 1410E,  65,  971, XX,  34, NEQ,  110,  110,   90,   85, 1002,  175,  20,   0,   0,   W,   0,   X, 350,   8,   SHANSHAN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172018, JTWC, NCEP_TCVITALS, 
WP, 17, 2018080906,   , BEST,   0, 374N, 1417E,  55,  976, XX,  34, NEQ,  130,  130,  100,  105, 1002,  220,  20,   0,   0,   W,   0,   X,   5,  10,   SHANSHAN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172018, JTWC, NCEP_TCVITALS, 
WP, 17, 2018080912,   , BEST,   0, 378N, 1426E,  45,  985, XX,  34, NEQ,   65,   75,   50,   40, 1002,  160,  20,   0,   0,   W,   0,   X,  25,   9,   SHANSHAN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172018, JTWC, NCEP_TCVITALS, 
WP, 17, 2018080918,   , BEST,   0, 387N, 1440E,  35,  990, XX,  34, NEQ,   85,   95,   30,   30, 1001,  150,  30,   0,   0,   W,   0,   X,  45,  11,   SHANSHAN, D,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172018, JTWC, NCEP_TCVITALS, 
WP, 17, 2018081000,   , BEST,   0, 400N, 1473E,  35,  990, XX,  34, NEQ,   75,  100,   50,   25, 1001,  155,  30,   0,   0,   W,   0,   X,  55,  18,   SHANSHAN, M,   ,    ,     ,     ,     ,     ,      TCGP EXTRA DATA, WP172018, JTWC, NCEP_TCVITALS, 
